BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;0.4921875;0.5388889;0.6625095;0.5838031;0;0;0;7.63341;1;0;0;0;0
0;0.9409714;mouse;1;0;0.6526042;0.5814815;0.6625095;0.5838031;0;1;0.9409714;7.63341;1;0.567421;0.003573865;0.01017377;1.181782
0;0.9409714;instantiate;0;0;0.6526042;0.5814815;0.1814752;0.716086;0;0;0;7.112999;2;0;0;0;0
0;1.702396;mouse;1;0;0.184375;0.7074074;0.1814752;0.716086;0;1;0.761425;7.112999;1;0.1003647;0.08605695;0.01003272;2.570884
0;1.734013;instantiate;0;0;0.184375;0.7074074;0.2729904;0.3797086;0;0;0;37.8516;3;0;0;0;0
0;2.283897;mouse;0;0;0.3557292;0.5027778;0.2729904;0.3797086;0;1;0.5498848;37.8516;1;0.1003647;0.08605695;0.01003272;2.570884
0;5.954113;mouse;1;0;0.2723958;0.3740741;0.2729904;0.3797086;0;1;4.2201;37.8516;1;0.1000481;0.3985373;0.005665861;1.169314
0;5.970909;instantiate;0;0;0.2723958;0.3740741;0.6642664;0.47341;0;0;0;20.86111;4;0;0;0;0
0;6.937927;mouse;1;0;0.6671875;0.4768519;0.6642664;0.47341;0;1;0.9670181;20.86111;1;0.132309;0.07293856;0.003855213;2.122796
0;6.937927;instantiate;0;0;0.6671875;0.4768519;0.1835167;0.5225139;0;0;0;0.5923414;5;0;0;0;0
0;7.537704;destroy;0;0;0.2609375;0.5268518;0.1835167;0.5225139;0;0;0.5997772;0.5923414;5;0;0;0;0
0;7.553734;instantiate;0;0;0.2552083;0.5277778;0.8764747;0.6972453;0;0;0;15.37902;6;0;0;0;0
0;7.820717;mouse;0;0;0.1927083;0.5333334;0.8764747;0.6972453;0;1;0.266983;15.37902;1;0.132309;0.07293856;0.003855213;2.122796
0;8.821732;mouse;1;0;0.8734375;0.6962963;0.8764747;0.6972453;0;1;1.267998;15.37902;1;0.0349617;0.2764536;0.003181974;4.778232
0;8.868832;instantiate;0;0;0.8734375;0.6962963;0.1160251;0.6247453;0;0;0;0.6182718;7;0;0;0;0
0;9.506527;destroy;0;0;0.1526042;0.6222222;0.1160251;0.6247453;0;0;0.6376953;0.6182718;7;0;0;0;0
0;9.506527;instantiate;0;0;0.1526042;0.6222222;0.8793802;0.7998076;0;0;0;39.58393;8;0;0;0;0
0;9.621151;mouse;0;0;0.1135417;0.6333333;0.8793802;0.7998076;0;1;0.114624;39.58393;1;0.0349617;0.2764536;0.003181974;4.778232
0;10.35459;mouse;1;0;0.8864583;0.8129629;0.8793802;0.7998076;0;1;0.8480606;39.58393;1;0.01700592;0.1115086;0.01493866;3.344926
1;0;instantiate;0;0;0.4260417;1.014815;0.9202299;0.2935966;0;0;0;18.27303;9;0;0;0;0
1;1.334671;mouse;1;0;0.9234375;0.2898148;0.9202299;0.2935966;0;1;1.334671;18.27303;1;0.2502518;0.05864835;0.004958853;2.641398
1;1.366577;instantiate;0;0;0.9234375;0.2898148;0.5066356;0.7771544;0;0;0;14.17263;10;0;0;0;0
1;2.283844;mouse;1;0;0.5041667;0.7731481;0.5066356;0.7771544;0;1;0.9172668;14.17263;1;0.05020905;0.1560662;0.007219324;2.421099
1;2.317131;instantiate;0;0;0.5041667;0.7731481;0.8550977;0.3814597;0;0;0;37.04638;11;0;0;0;0
1;2.717758;mouse;0;0;0.4583333;0.6120371;0.8550977;0.3814597;0;1;0.4006271;37.04638;1;0.05020905;0.1560662;0.007219324;2.421099
