BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;0.4994792;0.45;0.1638191;0.3594699;0;0;0;1.958401;1;0;0;0;0
0;0.9496036;mouse;1;0;0.1583333;0.3611111;0.1638191;0.3594699;0;1;0.9496036;1.958401;1;0.4505939;0.01827553;0.005726019;1.528769
0;0.9496036;instantiate;0;0;0.1583333;0.3611111;0.4296294;0.7809909;0;0;0;2.499798;2;0;0;0;0
0;1.564823;mouse;1;0;0.4307292;0.7851852;0.4296294;0.7809909;0;1;0.6152191;2.499798;1;0.06904984;0.1534296;0.004336054;2.702332
0;1.60076;instantiate;0;0;0.4307292;0.7851852;0.5716736;0.2956297;0;0;0;0.857841;3;0;0;0;0
0;2.233719;mouse;1;0;0.565625;0.3203704;0.5716736;0.2956297;0;1;0.6329594;0.857841;1;0.06835938;-0.01515904;0.02546935;1.694869
0;2.233719;instantiate;0;0;0.565625;0.3203704;0.1419043;0.2437216;0;0;0;1.811806;4;0;0;0;0
0;3.067052;mouse;1;0;0.1369792;0.2462963;0.1419043;0.2437216;0;1;0.833333;1.811806;1;0.1342201;0.6991541;0.005557557;4.15762
1;0;instantiate;0;0;0.4473958;0.3703704;0.7118468;0.1772225;0;0;0;2.337468;5;0;0;0;0
1;1.300161;mouse;1;0;0.7057292;0.1925926;0.7118468;0.1772225;0;1;1.300161;2.337468;1;0.7524681;0.02386475;0.01654276;1.237296
1;1.300161;instantiate;0;0;0.7057292;0.1925926;0.3713781;0.7085719;0;0;0;3.269598;6;0;0;0;0
1;1.918165;mouse;1;0;0.3609375;0.6962963;0.3713781;0.7085719;0;1;0.6180038;3.269598;1;0.1018353;0.01079625;0.01651303;2.140666
1;1.967188;instantiate;0;0;0.3609375;0.6962963;0.8601397;0.0570451;0;0;0;3.988696;7;0;0;0;0
1;3.033169;mouse;1;0;0.8671875;0.07592592;0.8601397;0.08090401;0;1;1.065981;3.988696;1;0.04852867;0.2027603;0.008628629;3.332024
