BlockNumber;Time Since Block start in ms;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present
0;0;instantiate;0;0;0.6081315;0.3764321;0.1222558;0.07513705;0;0;0;1;1
0;1.005073;destroy;0;0;0.1375432;0.1031097;0.1222558;0.07756862;0;0;1.005073;1;1
0;1.005073;instantiate;0;1;0.1375432;0.1031097;0.06728598;0.7736199;0;0;0;1;2
0;2.010211;destroy;0;1;0.08737024;0.7839607;0.06799072;0.7736199;0;0;1.005138;1;2
0;2.010211;instantiate;0;2;0.08737024;0.7839607;0.4643139;0.6787307;0;0;0;1;3
0;2.929543;mouse;1;2;0.4576125;0.6890343;0.4643139;0.6787307;0;0.5206404;0.9193316;1;1
0;3.014478;instantiate;0;3;0.4576125;0.6890343;0.1671254;0.932539;0;0;0;1;4
0;4.018413;destroy;0;3;0.1574394;0.9345335;0.1671254;0.926259;0;0;1.003935;1;4
0;4.018413;instantiate;0;4;0.1574394;0.9345335;0.1489547;0.1163562;0;0;0;1;5
0;4.035372;mouse;0;4;0.1565744;0.9312602;0.1489547;0.1163562;0;0;0.01695919;1;1
0;4.971599;mouse;0;4;0.1366782;0.1276596;0.1489547;0.1163562;0;0.4388294;0.953186;1;1
0;5.022783;destroy;0;4;0.1453287;0.1162029;0.1489547;0.1163562;0;0;1.004371;1;5
1;0;instantiate;0;0;0.550173;0.4206219;0.5129372;0.6642645;0;0;0;1;6
1;0.80056;mouse;0;0;0.5320069;0.6415712;0.5129372;0.6642645;0;0.7155534;0.80056;1;1
1;1.004805;destroy;0;0;0.5242215;0.6563011;0.5129372;0.6642645;0;0;1.004805;1;6
1;1.004805;instantiate;0;1;0.5242215;0.6563011;0.365046;0.7494563;0;0;0;1;7
1;1.158047;mouse;0;1;0.5233564;0.6628478;0.365046;0.7494563;0;0.5944654;0.1532421;1;1
1;1.856007;mouse;0;1;0.3771626;0.7905074;0.365046;0.7494563;0;0.6430635;0.851202;1;1
1;2.008804;destroy;0;1;0.3702422;0.7675941;0.365046;0.7494563;0;0;1.004;1;7
1;2.008804;instantiate;0;2;0.3702422;0.7675941;0.522113;0.3636152;0;0;0;1;8
1;2.145266;mouse;0;2;0.3685121;0.7659575;0.522113;0.3636152;0;0.5638936;0.1364613;1;1
1;2.944477;mouse;1;2;0.5259516;0.3600655;0.522113;0.3636152;0;0.4834958;0.9356728;1;1
1;3.012976;instantiate;0;3;0.5259516;0.3600655;0.7028574;0.4606736;0;0;0;1;9
1;3.949984;mouse;1;3;0.7084775;0.4648118;0.7028574;0.4606736;0;0.4803121;0.9370079;1;1
1;4.018005;instantiate;0;4;0.7076125;0.4648118;0.1423987;0.2973022;0;0;0;1;10
1;5.033287;mouse;0;4;0.1245675;0.2962357;0.1423987;0.2973022;0;0.1025577;1.015282;1;1
1;5.033287;destroy;0;4;0.1245675;0.2962357;0.1423987;0.2973022;0;0;1.015282;1;10
