BlockNumber;Time Since Block start in ms;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present
0;0;instantiate;0;0;0.5272565;0.5496063;0.1581278;0.8103043;2.375339;0;0;1.255209;1
0;0.666316;instantiate;0;1;0.2904379;0.7464567;0.5445969;0.1888576;2.25042;0;0;1.13921;2
0;0.8365307;mouse;1;1;0.2350313;0.7448819;0.2362921;0.7497043;1.802181;0.8642823;0.8365307;1.255209;2
0;1.341327;instantiate;0;2;0.5272565;0.4094488;0.888429;0.4896489;2.305424;0;0;1.022764;3
0;1.528334;mouse;1;2;0.5397676;0.4125984;0.5474893;0.3791869;2.192511;0.7677718;0.8620176;1.13921;3
0;1.749309;mouse;1;2;0.5433423;0.4047244;0.5474893;0.3791869;0;0.7677718;1.082993;1.13921;3
0;2.021366;instantiate;0;3;0.6827524;0.472441;0.8301597;0.3513329;2.268946;0;0;1.23877;4
0;2.37829;mouse;0;3;0.8364611;0.5842519;0.7994372;0.5715294;1.708636;0.1236282;1.036963;1.022764;3
0;2.37829;destroy;0;3;0.8364611;0.5842519;0.7994372;0.5715294;2.305424;0;1.036963;1.022764;4
0;2.548699;instantiate;0;4;0.8239499;0.5622047;0.3866844;0.8523025;2.432614;0;0;1.413459;5
0;2.769509;mouse;1;4;0.8739946;0.4283465;0.8821056;0.4265163;1.612088;0.9234561;0.7481432;1.23877;2
0;3.228553;instantiate;0;5;0.4191242;0.7511811;0.4772097;0.5776824;2.495737;0;0;1.260862;6
0;3.483387;mouse;1;5;0.256479;0.8472441;0.2625161;0.8436146;2.341555;0.8677734;0.9346876;1.413459;3
0;3.891376;instantiate;0;6;0.4682752;0.6740158;0.7133656;0.7647896;2.28968;0;0;1.310808;7
0;4.129346;mouse;1;6;0.5379803;0.7086614;0.5342546;0.702223;1.774771;0.8141649;0.9007931;1.260862;3
0;4.571292;instantiate;0;7;0.7649687;0.7716535;0.8743472;0.6135681;2.49773;0;0;1.237234;8
0;4.724223;mouse;1;7;0.8150134;0.8283464;0.7919078;0.8137475;1.794093;0.8937387;0.8328466;1.310808;3
0;5.166226;instantiate;0;8;0.9168901;0.7023622;0.4998093;0.5816647;2.422398;0;0;1.46694;9
0;5.302271;mouse;0;8;0.9463807;0.6519685;0.9257454;0.6159531;2.465485;0.9351922;0.730979;1.237234;3
0;5.710806;mouse;1;8;0.873101;0.6031496;0.8673383;0.6173083;2.465485;0.5097036;1.139514;1.237234;2
0;5.778877;instantiate;0;9;0.8748883;0.6031496;0.5692486;0.6673632;2.236865;0;0;1.131022;10
0;6.187219;mouse;0;9;0.6595174;0.5669292;0.6257526;0.556833;2.192233;0.8319057;1.020992;1.46694;3
0;6.35742;instantiate;0;10;0.642538;0.5606299;0.2331669;0.5948976;2.488436;0;0;1.435959;11
0;6.442414;mouse;1;10;0.6407506;0.5574803;0.6567222;0.5507269;2.192233;0.603771;1.276188;1.46694;4
0;6.867188;instantiate;0;11;0.4548704;0.6173229;0.05140817;0.3029665;2.376307;0;0;1.088429;12
0;6.918225;destroy;0;11;0.4566577;0.6220472;0.4269804;0.6640502;2.236865;0;1.139348;1.131022;12
0;7.092119;mouse;0;11;0.414656;0.6771653;0.6567222;0.5507269;0;0.603771;1.925893;1.46694;3
0;7.466274;instantiate;0;12;0.1492404;0.6125984;0.2093206;0.6673308;2.052491;0;0;1.04044;13
0;7.636219;mouse;0;12;0.09025916;0.5937008;0.05508775;0.6010742;2.440877;0.567586;1.278799;1.435959;3
0;7.80605;destroy;0;12;0.05719392;0.5338582;0.03196073;0.6018764;2.488436;0;1.44863;1.435959;13
0;7.857121;mouse;1;12;0.05719392;0.5291339;0.05183285;0.536357;2.368739;0.5380947;0.989933;1.088429;2
0;8.350288;mouse;1;13;0.1134942;0.7070866;0.1204531;0.6923947;1.791831;0.6445786;0.8840141;1.04044;2
