BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;0,5122396;0,5944445;0,8554962;0,8472602;0;0;0;1,790795;1;0;0;0;0
0;1,300467;mouse;1;0;0,8606771;0,8277778;0,8554962;0,8472602;0;1;1,300467;1,790795;1;0,6008568;0,1368649;0,02015948;4,452432
0;1,318417;instantiate;0;0;0,8606771;0,8277778;0,2545319;0,6754424;0;0;0;3,909484;2;0;0;0;0
0;2,468744;mouse;1;0;0,2661458;0,6768519;0,2545319;0,6754424;0;1;1,150328;3,909484;1;0,3809509;0,04018211;0,01169918;4,838158
0;2,468744;instantiate;0;0;0,2661458;0,6768519;0,5965702;0,471523;0;0;0;1,355412;3;0;0;0;0
0;3,651714;mouse;1;0;0,5919271;0,4662037;0,5965702;0,471523;0;1;1,18297;1,355412;1;0,4001637;0,0985502;0,007060721;3,244062
1;0;instantiate;0;0;0,5919271;0,4662037;0,3884507;0,1308184;0;0;0;1,039089;4;0;0;0;0
1;1,050957;destroy;0;0;0,3580729;0,06064815;0,3884507;0,1308184;0;0;1,050957;1,039089;4;0;0;0;0
1;1,10191;instantiate;0;0;0,353125;0,06342593;0,5071275;0,6847507;0;0;0;0,7578449;5;0;0;0;0
1;1,870075;destroy;0;0;0,5044271;0,4337963;0,5071275;0,6847507;0;0;0,7681656;0,7578449;5;0;0;0;0
1;1,870075;instantiate;0;0;0,5044271;0,4337963;0,759892;0,1434459;0;0;0;3,658956;6;0;0;0;0
1;4,736385;mouse;1;0;0,7723958;0,1310185;0,759892;0,1434459;0;1;2,86631;3,658956;1;0;0,2410752;0,0176291;2,757325
