BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;0,53125;0,3606482;0,8440555;0,4876298;0;0;0;5;1;0;0;0;0
0;1,366795;mouse;1;0;0,8307292;0,4717593;0,8440555;0,4876298;0;1;1,366795;5;1;0,5827656;0,0003713071;0,02072355;2,703107
0;1,366795;instantiate;0;0;0,8307292;0,4717593;0,7926791;0,9029554;0;0;0;5;2;0;0;0;0
0;2,566559;mouse;1;0;0,7973958;0,8800926;0,7926791;0,9029554;0;1;1,199764;5;1;0,3513641;0,1006083;0,02334426;4,451747
0;2,582951;instantiate;0;0;0,7973958;0,8800926;0,2458075;0,8497137;0;0;0;5;3;0;0;0;0
0;3,983994;mouse;1;0;0,2471354;0,8592592;0,2458075;0,8497137;0;1;1,401043;5;1;0,3343697;0,06268984;0,009637433;4,84355
0;4,016724;instantiate;0;0;0,2471354;0,8592592;0,552826;0,2798756;0;0;0;5;4;0;0;0;0
0;5,484852;mouse;1;0;0,5434896;0,2986111;0,552826;0,2798756;0;1;1,468128;5;1;0,3985596;-0,01423061;0,02093293;5,425438
1;0;instantiate;0;0;0,5434896;0,2986111;0,8055585;0,6354126;0;0;0;5;5;0;0;0;0
1;1,550934;mouse;1;0;0,8114583;0,6217592;0,8055585;0,6354126;0;1;1,550934;5;1;0,5653381;0,001929164;0,01487358;2,983463
1;1,550934;instantiate;0;0;0,8114583;0,6217592;0,0932622;0,3357502;0;0;0;5;6;0;0;0;0
1;3,152191;mouse;1;0;0,08385417;0,3310185;0,0932622;0,3357502;0;1;1,601257;5;1;0,3828506;0,1193945;0,01053088;4,345888
1;3,18948;instantiate;0;0;0,08385417;0,3310185;0,3881011;0,1857455;0;0;0;5;7;0;0;0;0
1;4,536671;mouse;1;0;0,3783854;0,1796296;0,3881011;0,1857455;0;1;1,347191;5;1;0,5329437;0,01180941;0,01148036;1,632091
1;4,585983;instantiate;0;0;0,3783854;0,1796296;0,4072452;0,8752314;0;0;0;5;8;0;0;0;0
1;5,969284;mouse;1;0;0,3960938;0,8657407;0,4072452;0,8752314;0;1;1,383301;5;1;0,5172424;0,04903811;0,01464337;3,980002
2;0;instantiate;0;0;0,4804688;0,400463;0,9013965;0,5851408;0;0;0;5;9;0;0;0;0
2;2,001804;mouse;1;0;0,9026042;0,574537;0,9013965;0,5851408;0;1;2,001804;5;1;0,7846375;0,02575818;0,01067228;2,758265
2;2,017715;instantiate;0;0;0,9026042;0,574537;0,5529851;0,3722483;0;0;0;5;10;0;0;0;0
2;3,901894;mouse;1;0;0,5507813;0,3685185;0,5529851;0,3722483;0;1;1,884178;5;1;0,5169182;0,3570477;0,004332173;1,843085
2;3,901894;instantiate;0;0;0,5507813;0,3685185;0,2033084;0,2659737;0;0;0;5;11;0;0;0;0
2;5,801376;mouse;1;0;0,2018229;0,2476852;0,2033084;0,2659737;0;1;1,899483;5;1;0,5027122;0,03472093;0,01834874;1,521276
