BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;1.335366;0.2345992;0.8223783;0.5853447;0;0;0;0.5673084;1;0;0;0;0
0;0.5740538;destroy;0;0;1.585366;0.628692;0.8223783;0.5853447;0;0;0.5740538;0.5673084;1;0;0;0;0
0;0.6073856;instantiate;0;0;1.587108;0.6388186;0.08938655;0.3365566;0;0;0;1.359601;2;0;0;0;0
0;1.821465;mouse;1;0;0.1184669;0.3417721;0.08938655;0.3365566;0;1;1.214079;1.359601;1;0.1842718;0.7361497;0.02954434;8.98639
0;1.821465;instantiate;0;0;0.1184669;0.3417721;0.4311881;0.1495209;0;0;0;1.6078;3;0;0;0;0
0;2.395672;mouse;1;0;0.4198606;0.1232067;0.4311881;0.1495209;0;1;0.5742073;1.6078;1;0.06704521;0.4179552;0.02523852;2.864437
0;2.446012;instantiate;0;0;0.4198606;0.1223629;0.1560815;0.4089824;0;0;0;0.600071;4;0;0;0;0
0;3.053953;destroy;0;0;0.1794425;0.4135021;0.1560815;0.4089824;0;0;0.6079407;0.600071;4;0;0;0;0
1;0;instantiate;0;0;0.6663763;0.435443;0.7608103;0.7597761;0;0;0;3.993918;5;0;0;0;0
1;3.00803;mouse;1;0;0.7700348;0.7561181;0.7608103;0.7597761;0;1;3.00803;3.993918;1;0.7396555;0.1215949;0.009923388;2.010359
