BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;0,5070313;0,5851852;0,3529889;0,6471586;0;0;0;3,268624;1;0;0;0;0
0;1,483723;mouse;1;0;0,3554688;0,662037;0,3529889;0,6471586;0;1;1,483723;3,268624;1;0,6346016;0,1461038;0,01508369;1,316232
0;1,483723;instantiate;0;0;0,3554688;0,662037;0,06681004;0,1225165;0;0;0;3,606821;2;0;0;0;0
0;3,251221;mouse;1;0;0,07135417;0,1194444;0,06681004;0,1225165;0;1;1,767498;3,606821;1;0,4336853;0,07656068;0,005485136;2,638055
1;0;instantiate;0;0;0,2856771;0,2226852;0,6635528;0,8567305;0;0;0;0,9389772;3;0;0;0;0
1;0,9499092;destroy;0;0;0,6299479;0,8314815;0,6635528;0,8567305;0;0;0,9499092;0,9389772;3;0;0;0;0
1;0,9831963;instantiate;0;0;0,6299479;0,8314815;0,140667;0,3343438;0;0;0;2,392582;4;0;0;0;0
1;3,299889;mouse;1;0;0,1434896;0,3393519;0,140667;0,3343438;0;1;2,316692;2,392582;1;0,1820374;0,2932676;0,005748682;3,648596
