BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;0,5497396;0,3347222;0,5782588;0,5836786;0;0;0;5;1;0;0;0;0
0;0,9655342;mouse;1;0;0,5796875;0,5967593;0,5782588;0,5836786;0;1;0,9655342;5;1;0,06701088;0,03649694;0,01315845;1,633056
0;1,003393;instantiate;0;0;0,5796875;0,5967593;0,8686882;0,1343559;0;0;0;5;2;0;0;0;0
0;2,652126;mouse;1;0;0,8721354;0,1106481;0,8686882;0,1343559;0;1;1,648733;5;1;0,7145214;0,1999356;0,02395707;4,169645
0;2,652126;instantiate;0;0;0,8721354;0,1106481;0,05503535;0,1986831;0;0;0;5;3;0;0;0;0
0;4,201414;mouse;1;0;0,05807292;0,2282407;0,05503535;0,1986831;0;1;1,549288;5;1;0,3997517;0,07603514;0,0297133;6,380895
0;4,201414;instantiate;0;0;0,05807292;0,2282407;0,7015538;0,5232412;0;0;0;5;4;0;0;0;0
0;5,4179;mouse;1;0;0,7101563;0,5106481;0,7015538;0,5232412;0;1;1,216486;5;1;0,3837528;0,0536359;0,01525082;5,566068
1;0;instantiate;0;0;0,7101563;0,5106481;0,6944241;0,8478094;0;0;0;5;5;0;0;0;0
1;1,317268;mouse;1;0;0,6919271;0,8449074;0,6944241;0,8478094;0;1;1,317268;5;1;0,5484924;0,1511818;0,003828385;3,990968
1;1,333466;instantiate;0;0;0,6919271;0,8449074;0,9331051;0,5842358;0;0;0;5;6;0;0;0;0
1;2,550915;mouse;1;0;0,93125;0,587963;0,9331051;0,5842358;0;1;1,217449;5;1;0,5313606;0,06217614;0,004163329;3,325971
1;2,586586;instantiate;0;0;0,93125;0,587963;0,4248218;0,481708;0;0;0;5;7;0;0;0;0
1;3,836639;mouse;1;0;0,4322917;0,4902778;0,4248218;0,481708;0;1;1,250053;5;1;0,3975487;0,01444548;0,01136833;3,007958
1;3,836639;instantiate;0;0;0,4322917;0,4902778;0,9127932;0,8435665;0;0;0;5;8;0;0;0;0
1;5,202309;mouse;1;0;0,9179688;0,8333333;0,9127932;0,8435665;0;1;1,365669;5;1;0,5683556;0,07210976;0,01146751;4,306976
2;0;instantiate;0;0;0,6348959;0,6152778;0,1703621;0,7922664;0;0;0;5;9;0;0;0;0
2;1,866497;mouse;1;0;0,1622396;0,787037;0,1703621;0,7922664;0;1;1,866497;5;1;0,6829071;0,1928621;0,009660322;3,836276
2;1,901459;instantiate;0;0;0,1622396;0,787037;0,6395827;0,5722719;0;0;0;5;10;0;0;0;0
2;3,084984;mouse;1;0;0,6382812;0,5708333;0,6395827;0,5722719;0;1;1,183525;5;1;0,3492165;0,2228729;0,001939958;4,825645
2;3,084984;instantiate;0;0;0,6382812;0,5708333;0,6646522;0,1949148;0;0;0;5;11;0;0;0;0
2;4,284557;mouse;1;0;0,6609375;0,200463;0,6646522;0,1949148;0;1;1,199574;5;1;0,4839211;0,007125229;0,006676887;3,144104
2;4,31818;instantiate;0;0;0,6609375;0,200463;0,2608015;0,6078223;0;0;0;5;12;0;0;0;0
2;5,485573;mouse;1;0;0,2710938;0,5972222;0,2608015;0,6078223;0;1;1,167393;5;1;0,3974609;0,1181655;0,01477473;4,83873
