BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;0,4807292;0,2356482;0,2905038;0,2238405;0;0;0;3,170293;1;0;0;0;0
0;1,200504;mouse;1;0;0,290625;0,2208333;0,2905038;0,2238405;0;1;1,200504;3,170293;1;0,48386;0,02180184;0,003009616;1,399085
0;1,234562;instantiate;0;0;0,290625;0,2208333;0,6555089;0,2826079;0;0;0;2,739634;2;0;0;0;0
0;3,985268;destroy;0;0;0,6510417;0,2888889;0,6555089;0,2826079;0;0;2,750706;2,739634;2;0;0;0;0
1;0;instantiate;0;0;0,6510417;0,2888889;0,2901804;0,4661003;0;0;0;1,992602;3;0;0;0;0
1;1,500675;mouse;1;0;0,2911458;0,4537037;0,2901804;0,4661003;0;1;1,500675;1,992602;1;0,8160782;-0,001173884;0,01243411;3,3769
1;1,533176;instantiate;0;0;0,2911458;0,4537037;0,6427107;0,4719829;0;0;0;0,2124519;4;0;0;0;0
1;1,750309;destroy;0;0;0,2911458;0,4537037;0,6427107;0,4719829;0;0;0,2171326;0,2124519;4;0;0;0;0
1;1,782555;instantiate;0;0;0,2911458;0,4537037;0,2202739;0,6041929;0;0;0;0,4774971;5;0;0;0;0
1;2,265656;destroy;0;0;0,50625;0,4856482;0,2202739;0,6041929;0;0;0,4831009;0,4774971;5;0;0;0;0
1;2,316536;instantiate;0;0;0,4419271;0,5129629;0,7454727;0,6864956;0;0;0;3,228476;6;0;0;0;0
1;5,550831;destroy;0;0;0,7536458;0,6699074;0,7454727;0,6864956;0;0;3,234295;3,228476;6;0;0;0;0
