BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;0,5570313;0,3342593;0,3273373;0,4206226;0;0;0;5;1;0;0;0;0
0;1,017047;mouse;1;0;0,3085938;0,4273148;0,3273373;0,4206226;0;1;1,017047;5;1;0,3486805;0,02891372;0,01990237;2,510577
0;1,017047;instantiate;0;0;0,3085938;0,4273148;0,3199516;0,8622139;0;0;0;5;2;0;0;0;0
0;2,234509;mouse;1;0;0,3226562;0,8527778;0,3199516;0,8622139;0;1;1,217462;5;1;0,5164309;0,1043516;0,009816085;4,838665
0;2,266653;instantiate;0;0;0,3226562;0,8527778;0,2962756;0,2968809;0;0;0;5;3;0;0;0;0
0;3,601576;mouse;1;0;0,3;0,299537;0,2962756;0,2968809;0;1;1,334923;5;1;0,3994579;0,1333829;0,004574561;4,06458
0;3,618202;instantiate;0;0;0,3;0,299537;0,6774188;0,4183128;0;0;0;5;4;0;0;0;0
0;4,918985;mouse;1;0;0,6955729;0,3958333;0,6774188;0,4183128;0;1;1,300783;5;1;0,4643269;0,2416697;0,02889466;3,538605
0;4,935461;instantiate;0;0;0,6955729;0,3958333;0,3654948;0,2936295;0;0;0;5;5;0;0;0;0
0;6,385822;mouse;1;0;0,3625;0,2717593;0,3654948;0,2936295;0;1;1,450361;5;1;0,6822491;0,07553622;0,02207432;2,943885
1;0;instantiate;0;0;0,3625;0,2717593;0,4267941;0,807525;0;0;0;5;6;0;0;0;0
1;1,218334;mouse;1;0;0,4388021;0,7925926;0,4267941;0,807525;0;1;1,218334;5;1;0,4508781;0,0256319;0,01916163;3,817558
1;1,253279;instantiate;0;0;0,4388021;0,7925926;0,4788634;0,4012835;0;0;0;5;7;0;0;0;0
1;2,6359;mouse;1;0;0,4851562;0,3925926;0,4788634;0,4012835;0;1;1,382622;5;1;0,5982895;0,01096603;0,01072993;2,811754
1;2,6359;instantiate;0;0;0,4851562;0,3925926;0,7609283;0,1602158;0;0;0;5;8;0;0;0;0
1;3,869015;mouse;1;0;0,7669271;0,1490741;0,7609283;0,1602158;0;1;1,233114;5;1;0,5332165;0,05214965;0,01265401;2,441801
1;3,869015;instantiate;0;0;0,7669271;0,1490741;0,6754701;0,7402009;0;0;0;5;9;0;0;0;0
1;5,004089;mouse;1;0;0,6895834;0,7212963;0,6754701;0,7402009;0;1;1,135075;5;1;0,349493;0,1196868;0,02359174;3,90616
2;0;instantiate;0;0;0,5393229;0,6666667;0,897617;0,1128962;0;0;0;5;10;0;0;0;0
2;1,567505;mouse;1;0;0,9075521;0,1194444;0,897617;0,1128962;0;1;1,567505;5;1;0,4837608;0,1277472;0,0118989;4,232578
2;1,567505;instantiate;0;0;0,9075521;0,1194444;0,5478988;0,5365331;0;0;0;5;11;0;0;0;0
2;2,667622;mouse;1;0;0,5583333;0,5226852;0,5478988;0,5365331;0;1;1,100117;5;1;0,3503761;0,1192391;0,01733911;4,865032
2;2,684208;instantiate;0;0;0,5583333;0,5226852;0,2797805;0,3723418;0;0;0;5;12;0;0;0;0
2;3,768452;mouse;1;0;0,28125;0,3773148;0,2797805;0,3723418;0;1;1,084244;5;1;0,3816032;0,05221623;0,005185565;2,157091
2;3,803299;instantiate;0;0;0,28125;0,3773148;0,0535754;0,1718309;0;0;0;5;13;0;0;0;0
2;4,969368;mouse;1;0;0,05390625;0,1722222;0,0535754;0,1718309;0;1;1,166069;5;1;0,5304375;0,006813973;0,0005124747;2,713196
2;4,969368;instantiate;0;0;0,05390625;0,1722222;0,5484821;0,2226583;0;0;0;5;14;0;0;0;0
2;6,185009;mouse;1;0;0,5513021;0,2361111;0,5484821;0,2226583;0;1;1,215641;5;1;0,4169769;0,1416305;0,01374516;3,973352
