BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;0,5045692;0,5372145;0,5710622;0,1026034;0;0;0;3,5;1;0;0;0;0
0;0,8580222;mouse;1;0;0,5724543;0,08916728;0,5710622;0,1026034;0;0,7968469;0,8580222;3,5;1;0,3026543;0,08892536;0,01350803;3,035483
0;3,515886;instantiate;0;0;0,5019583;0,4045689;0,9007649;0,2729935;0;0;0;3,5;2;0;0;0;0
0;7,020674;destroy;0;0;0,7708877;0,2616065;0,9007649;0,2729935;0;0;3,504788;3,5;2;0;0;0;0
0;7,020674;instantiate;0;0;0,7708877;0,2616065;0,379555;0,9100466;0;0;0;3,5;3;0;0;0;0
0;8,536404;mouse;1;0;0,3883812;0,9211496;0,379555;0,9100466;0;0,9519733;1,515729;3,5;1;0,5040283;0,03082818;0,01459887;4,429978
1;0;instantiate;0;0;0,4693212;0,7973471;0,2869645;0,2794952;0;0;0;3,5;4;0;0;0;0
1;3,508848;destroy;0;0;0,3687989;0,2955048;0,2869645;0,2794952;0;0;3,508848;3,5;4;0;0;0;0
1;3,508848;instantiate;0;0;0,3687989;0,2955048;0,7603674;0,5249331;0;0;0;3,5;5;0;0;0;0
1;7,016802;destroy;0;0;0,3687989;0,2955048;0,7603674;0,5249331;0;0;3,507954;3,5;5;0;0;0;0
1;7,016802;instantiate;0;0;0,3687989;0,2955048;0,1417407;0,09580764;0;0;0;3,5;6;0;0;0;0
1;10,52265;destroy;0;0;0,3687989;0,2955048;0,1417407;0,09580764;0;0;3,505844;3,5;6;0;0;0;0
2;0;instantiate;0;0;0,3687989;0,2955048;0,5497392;0,6931277;0;0;0;3,5;7;0;0;0;0
2;1,832966;mouse;1;0;0,5502611;0,6705969;0,5497392;0,6931277;0;0,9877353;1,832966;3,5;1;1,109768;0,2112204;0,02253684;3,610506
2;3,515987;instantiate;0;0;0,5078329;0,587325;0,8132578;0,4437285;0;0;0;3,5;8;0;0;0;0
2;4,523293;mouse;1;0;0,805483;0,4458364;0,8132578;0,4437285;0;0,8370674;1,007305;3,5;1;0,06731796;0,3219413;0,008055448;1,903923
2;7,0233;instantiate;0;0;0,6847258;0,6322771;0,2781558;0,7087771;0;0;0;3,5;9;0;0;0;0
2;8,472088;mouse;1;0;0,2826371;0,7103906;0,2781558;0,7087771;0;0,9383575;1,448788;3,5;1;0,571125;0,008738965;0,004762888;1,746497
