BlockNumber;Time Since Block start in ms;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present
0;0;instantiate;0;0;0.4790666;0.4199744;0.5139169;0.551692;2.849337;0;0;2.567771;1
0;0.3910065;instantiate;0;1;0.4708305;0.4097311;0.7018576;0.3869495;2.079324;0;0;2.404642;2
0;0.7649002;instantiate;0;2;0.4632807;0.3918054;0.2493961;0.5821946;3.290661;0;0;2.840961;3
0;0.8328314;mouse;1;2;0.4605353;0.3994878;0.4617213;0.4111462;2.047687;0.8341427;0.8328314;2.567771;3
0;1.240365;instantiate;0;3;0.6952642;0.524968;0.6985725;0.7853296;3.242177;0;0;2.217241;4
0;1.427258;mouse;1;3;0.7295814;0.5364917;0.7344237;0.5414885;1.60375;0.9360546;1.036251;2.404642;4
0;1.631143;instantiate;0;4;0.6238847;0.5953905;0.164704;0.3172704;3.356813;0;0;2.949924;5
0;2.02356;mouse;1;5;0.5778998;0.7592829;0.5794801;0.758439;2.913236;0.8626154;0.7831945;2.217241;4
0;3.190132;mouse;1;5;0.2642416;0.1229193;0.2671388;0.1448521;2.20772;0.9815704;1.55899;2.949924;2
0;3.610048;destroy;0;5;0.4886754;0.2176697;0.1890302;0.8706958;3.290661;0;2.845148;2.840961;5
1;0;instantiate;0;0;0.759094;-0.05121639;0.3479598;0.6620157;2.396579;0;0;2.631104;6
1;0.493433;instantiate;0;1;0.7412491;-0.03585147;0.3673152;0.9242111;2.918446;0;0;2.909012;7
1;1.003168;instantiate;0;2;0.2999314;0.4558259;0.4385283;0.854497;2.364061;0;0;2.708906;8
1;1.071121;mouse;1;2;0.299245;0.4558259;0.3012033;0.4930963;1.778736;0.9151911;1.071121;2.631104;3
1;1.410883;instantiate;0;3;0.4221002;0.5364917;0.5079876;0.9093648;2.973691;0;0;2.845223;9
1;1.767496;mouse;1;3;0.3946465;0.6568502;0.3840934;0.6685957;2.561621;0.9433233;1.274063;2.909012;4
1;1.954403;instantiate;0;4;0.45779;0.6427657;0.8522124;0.7755979;3.136376;0;0;2.588941;10
1;2.073357;mouse;1;4;0.4680851;0.6414853;0.4586582;0.6393798;2.043139;0.9042582;1.070189;2.708906;4
1;2.532053;mouse;1;5;0.54221;0.7477593;0.5441369;0.7556514;2.210703;0.9036156;1.12117;2.845223;4
1;3.109886;mouse;1;5;0.8647907;0.4622279;0.8735842;0.4540648;2.811732;0.9499519;1.155483;2.588941;2
