BlockNumber;Time Since Block start in ms;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present
0;0;instantiate;0;0;0,547025;0,5251256;0,6785802;0,8046451;0;0;0;1;1
0;0,738121;mouse;1;0;0,6698657;0,7973199;0,6785802;0,8046451;0;0,791531;0,738121;1;1
0;1,008114;instantiate;0;1;0,6295586;0,6792295;0,7846774;0,5704967;0;0;0;1;2
0;1,764103;mouse;1;1;0,8080614;0,5720268;0,7846774;0,5704967;0;0,7706454;0,7559891;1;1
0;2,017002;instantiate;0;2;0,7178503;0,5201005;0,3155155;0,3750468;0;0;0;1;3
0;2,656645;mouse;1;2;0,3205374;0,3802345;0,3155155;0,3750468;0;0,8932221;0,6396427;1;2
0;3,027983;instantiate;0;3;0,4424184;0,4782245;0,4953852;0,5079229;0;0;0;1;4
0;3,615343;mouse;1;3;0,4760077;0,4882747;0,4953852;0,5079229;0;0,9408466;0,5873604;1;2
0;4,036097;instantiate;0;4;0,4040307;0,4639866;0,2758198;0,7240627;0;0;0;1;5
0;4,676895;mouse;1;4;0,2485605;0,7479062;0,2758198;0,7240627;0;0,8921275;0,6407986;1;1
1;0;instantiate;0;0;0,6084453;0,5628141;0,8334034;0,1020445;0;0;0;1;6
1;0,8102226;mouse;1;0;0,8474088;0,1306533;0,8334034;0,1020445;0;0,7028845;0,8102226;1;1
1;1,012539;instantiate;0;1;0,8416507;0,1139028;0,5397251;0,47467;0;0;0;1;7
1;1,079868;mouse;1;1;0,8416507;0,1139028;0,8334034;0,1020445;0;0,7028845;1,079868;1;2
1;1,868561;mouse;1;1;0,5239923;0,4840871;0,5397251;0,47467;0;0,6349715;0,8560219;1;1
1;2,020008;instantiate;0;2;0,5259117;0,4824121;0,750896;0,7210806;0;0;0;1;8
1;2,6945;mouse;1;2;0,7408829;0,7001675;0,750896;0,7210806;0;0,8596507;0,6744919;1;2
1;3,031414;instantiate;0;3;0,5431862;0,540201;0,6765676;0,5892167;0;0;0;1;9
1;3,771362;mouse;1;3;0,6909789;0,5854272;0,6765676;0,5892167;0;0,7896468;0,7399483;1;1
1;4,041077;instantiate;0;4;0,7120921;0,5477387;0,8088235;0,5941229;0;0;0;1;10
1;4,659355;mouse;1;4;0,8253359;0,5921273;0,8088235;0,5941229;0;0,9134276;0,6182785;1;2
