BlockNumber;SeqNumber;ItemNumber;buttonPressed;buttonTarget;CircleTarget;timeAvailable;timeToButtonPressed
0;0;0;-1;3;1;1000;2500
0;0;1;1;1;4;550;1225
0;0;2;3;3;1;900;777
0;0;3;0;0;2;750;906
0;0;4;2;2;5;600;629
0;0;5;0;0;0;300;745
0;0;6;1;1;3;400;811
0;0;7;2;2;0;1000;762
0;0;8;3;3;4;500;762
0;0;9;2;2;3;800;861
0;0;10;0;0;5;650;694
0;0;11;1;1;2;700;995
0;1;0;0;3;4;650;1226
0;1;1;0;2;5;600;347
0;1;2;0;1;2;300;315
0;1;3;0;2;1;1000;718
0;1;4;0;1;5;900;849
0;1;5;0;0;0;800;746
0;1;6;0;3;1;750;702
0;1;7;0;2;0;400;409
0;1;8;0;1;3;1000;945
0;1;9;0;0;2;500;414
0;1;10;0;3;3;700;597
0;1;11;0;0;4;550;546
1;0;0;0;2;0;1000;115
1;0;1;0;1;3;500;1757
1;0;2;0;0;2;650;645
1;0;3;1;2;5;900;907
1;0;4;2;3;1;1000;918
1;0;5;1;1;3;400;325
1;0;6;2;2;4;550;523
1;0;7;1;0;2;800;653
1;0;8;1;3;1;600;497
1;0;9;1;1;0;750;579
1;0;10;1;0;5;300;216
1;0;11;1;3;4;700;648
1;1;0;1;2;0;1000;1037
1;1;1;0;1;3;500;281
1;1;2;1;0;2;650;365
1;1;3;2;2;5;900;716
1;1;4;2;3;1;1000;729
1;1;5;2;1;3;400;200
1;1;6;-1;2;4;550;2500
1;1;7;-1;0;2;800;2500
1;1;8;-1;3;1;600;2500
1;1;9;-1;1;0;750;2500
1;1;10;-1;0;5;300;2500
1;1;11;-1;3;4;700;2500
