BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present
0;0;instantiate;0;0;0,4416119;0,3886097;0,05170768;0,2261501;0;0;0;2,5;1
0;2,239822;mouse;0;0;0,03371711;0,2470687;0,05170768;0,2261501;0;0,5471798;2,239822;2,5;1
0;2,50906;destroy;0;0;0,03618421;0,2462312;0,05170768;0,2261501;0;0;2,50906;2,5;1
0;2,525726;instantiate;0;1;0,03618421;0,2462312;0,4240368;0,08448076;0;0;0;2,5;2
0;4,255013;mouse;0;1;0,4021381;0,1273032;0,4240368;0,08448076;0;0,8312098;1,729286;2,5;1
0;5,028992;destroy;0;1;0,4087171;0,1080402;0,4240368;0,08448076;0;0;2,503265;2,5;2
0;5,045982;instantiate;0;2;0,4087171;0,1080402;0,7495553;0,8699856;0;0;0;2,5;3
0;6,896347;mouse;1;2;0,7615132;0,8760469;0,7495553;0,8699856;0;0,7775071;1,850365;2,5;1
0;7,40028;instantiate;0;3;0,7615132;0,8752094;0,1278747;0,6826306;0;0;0;2,5;4
0;9,656288;mouse;1;3;0,1356908;0,69933;0,1278747;0,6826306;0;0,5344173;2,256008;2,5;1
0;9,673313;instantiate;0;4;0,1356908;0,69933;0,1766777;0,6219514;0;0;0;2,5;5
0;10,98245;mouse;1;4;0,1891447;0,6407035;0,1766777;0,6219514;0;0,9863336;1,309135;2,5;1
0;12,34126;instantiate;0;5;0,2203947;0,5778894;0,7191934;0,5041898;0;0;0;2,5;6
0;13,77396;mouse;1;5;0,703125;0,4958124;0,7191934;0,5041898;0;0,944711;1,432705;2,5;1
0;15,11794;instantiate;0;6;0,4333881;0,3726968;0,8738535;0,1087554;0;0;0;2,5;7
0;17,05163;mouse;1;6;0,8824013;0,1407035;0,8738535;0,1087554;0;0,7370495;1,933693;2,5;1
0;17,25426;instantiate;0;7;0,8799342;0,1407035;0,9030872;0,207635;0;0;0;2,5;8
0;19,21664;mouse;0;7;0,8758224;0,239531;0,9030872;0,207635;0;0,7223144;1,962387;2,5;1
0;19,24998;instantiate;0;8;0,8758224;0,239531;0,09585989;0,8719469;0;0;0;2,5;9
0;19,75506;destroy;0;8;0,8634868;0,218593;0,9030872;0,207635;0;0;2,500801;2,5;9
0;21,50195;mouse;1;8;0,08717106;0,8886097;0,09585989;0,8719469;0;0,5377174;2,251976;2,5;1
0;21,68694;instantiate;0;9;0,08717106;0,8886097;0,5379065;0,2203851;0;0;0;2,5;10
0;24,1943;destroy;0;10;0,5542763;0,2512563;0,5379065;0,2203851;0;0;2,507362;2,5;10
1;0;instantiate;0;0;0,4120066;0,1859296;0,4132633;0,3297802;0;0;0;2,5;11
1;1,998993;mouse;0;0;0,3889803;0,3609715;0,4132633;0,3297802;0;0,7031889;1,998993;2,5;1
1;2,502678;destroy;0;0;0,4523026;0,339196;0,4132633;0,3297802;0;0;2,502678;2,5;11
1;2,620682;instantiate;0;1;0,4506579;0,339196;0,6300119;0,2705172;0;0;0;2,5;12
1;4,052994;mouse;1;1;0,6085526;0,2805695;0,6300119;0,2705172;0;0,9448254;1,432312;2,5;1
1;5,31237;instantiate;0;2;0,5690789;0,3283082;0,09273356;0,9129334;0;0;0;2,5;13
1;7,346153;mouse;1;2;0,0649671;0,9128978;0,09273356;0,9129334;0;0,683552;2,033783;2,5;1
1;7,397018;instantiate;0;3;0,06578948;0,9128978;0,09133112;0,1693557;0;0;0;2,5;14
1;9,753746;instantiate;0;4;0,05838816;0,1549414;0,7518689;0,05938098;0;0;0;2,5;15
1;9,905701;destroy;0;4;0,0962171;0,1775544;0,09133112;0,1693557;0;0;2,508682;2,5;15
1;11,77386;instantiate;0;5;0,7623355;0,09045226;0,9464364;0,4293528;0;0;0;2,5;16
1;11,80743;mouse;1;5;0,7623355;0,09045226;0,7518689;0,08032659;0;0,6721386;2,053688;2,5;2
1;13,81976;mouse;1;5;0,9416118;0,4447236;0,9464364;0,4293528;0;0,677021;2,045906;2,5;1
1;14,23813;instantiate;0;6;0,9424342;0,4438861;0,07674322;0,9073023;0;0;0;2,5;17
1;16,22977;instantiate;0;7;0,05756579;0,9170854;0,2258786;0,291932;0;0;0;2,5;18
1;16,26379;mouse;1;7;0,06003289;0,9170854;0,07674322;0,9073023;0;0,6883136;2,025658;2,5;2
1;18,43614;mouse;1;7;0,2286184;0,3132328;0,2258786;0,291932;0;0,5727248;2,206367;2,5;1
1;18,99077;instantiate;0;8;0,2245066;0,2939698;0,4749108;0,4327081;0;0;0;2,5;19
1;20,63877;mouse;1;8;0,4745066;0,4623116;0,4749108;0,4327081;0;0,8646463;1,648003;2,5;1
1;21,64844;instantiate;0;9;0,4679276;0,4036851;0,2258892;0,4134028;0;0;0;2,5;20
1;23,2999;mouse;1;9;0,2179276;0,4061977;0,2258892;0,4134028;0;0,8631442;1,651459;2,5;1
