BlockNumber;Time Since Block start in ms;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present
0;0;instantiate;0;0;0.4604167;0.5604166;0.7023456;0.8392367;3.008336;0;0;3.128874;1
0;0.4333267;instantiate;0;1;0.4578125;0.5590278;0.8939238;0.8346372;3.030225;0;0;3.034659;2
0;0.9004364;instantiate;0;2;0.7041667;0.5625;0.5105447;0.7613144;2.495981;0;0;2.884129;3
0;1.067474;mouse;1;2;0.7260417;0.5708333;0.7308974;0.5557746;2.675962;0.8530885;1.067474;3.128874;3
0;1.284172;instantiate;0;3;0.8057292;0.48125;0.7755753;0.5156883;2.664207;0;0;2.109415;4
0;1.667847;instantiate;0;4;0.5869792;0.8263889;0.3411547;0.05252245;3.037342;0;0;3.043814;5
0;2.051598;instantiate;0;5;0.5760416;0.8923611;0.5300256;0.6673988;2.836365;0;0;2.940267;6
0;2.217628;mouse;1;5;0.5713542;0.8708333;0.5639487;0.8593231;1.933942;0.9600695;1.317192;2.884129;5
0;2.401794;instantiate;0;6;0.6541666;0.8152778;0.7565098;0.0561561;2.436899;0;0;2.069593;7
0;2.751488;mouse;1;6;0.8026041;0.8465278;0.8088086;0.8487391;2.955042;0.7470492;2.318161;3.034659;6
0;2.801025;instantiate;0;7;0.7973958;0.8465278;0.3960166;0.4878051;2.293055;0;0;2.577111;8
0;3.185837;instantiate;0;8;0.8848959;0.8055556;0.08360243;0.09257427;3.303379;0;0;3.025981;9
0;3.319839;mouse;1;8;0.90625;0.8666667;0.9156165;0.8717722;1.973449;0.375485;2.035667;2.109415;7
0;3.653603;instantiate;0;9;0.4921875;0.6340278;0.504783;0.2757461;2.550282;0;0;2.540944;10
0;4.053612;mouse;1;9;0.4911458;0.6395833;0.4836784;0.658128;1.649264;0.9833041;1.252586;2.577111;7
0;4.103577;instantiate;0;10;0.4916667;0.64375;0.9189114;0.4619705;3.182399;0;0;3.016438;11
0;4.436684;instantiate;0;11;0.3052083;0.7659722;0.8106689;0.752394;2.575125;0;0;3.010194;12
0;4.49157;mouse;0;11;0.2984375;0.7756944;0.2795975;0.8276743;2.76188;0.4786145;2.823723;3.043814;8
0;4.49157;destroy;0;11;0.2984375;0.7756944;1.058174;0.1626398;2.436899;0;2.089775;2.069593;12
0;4.720612;destroy;0;11;0.3484375;0.73125;0.274498;0.891888;3.037342;0;3.052765;3.043814;12
0;4.88752;instantiate;0;12;0.6734375;0.5152778;0.829424;0.8258553;2.632276;0;0;2.371396;13
0;5.002823;destroy;0;12;0.6541666;0.5673611;0.5125515;0.2189323;2.836365;0;2.951225;2.940267;13
0;5.254799;mouse;1;12;0.6682292;0.4875;0.6653911;0.4906512;2.94404;0.8923464;1.151222;3.016438;5
0;5.838699;mouse;1;13;0.3791667;0.4708333;0.3831251;0.4784791;3.01288;0.5817688;2.652863;3.025981;5
0;6.21167;destroy;0;13;0.7447917;0.6013889;0.842291;0.477358;2.550282;0;2.558067;2.540944;13
0;6.606041;mouse;1;13;0.8760417;0.6743056;0.8774868;0.6862512;2.167243;0.7956033;1.718521;2.371396;3
0;7.457428;destroy;0;13;0.4088542;0.3805556;0.953393;0.9060075;2.575125;0;3.020744;3.010194;13
1;0;instantiate;0;0;0.5;0.4611111;0.1135933;0.4177562;2.02497;0;0;3.367808;14
1;0.4683685;instantiate;0;1;0.3041667;0.5430555;0.1426441;0.6548533;3.245725;0;0;3.127857;15
1;0.851265;mouse;1;1;0.1447917;0.5451389;0.1415355;0.5529658;1.646692;0.7549261;0.851265;3.367808;2
1;0.9173508;instantiate;0;2;0.1473958;0.5513889;0.7745305;0.6882994;2.223587;0;0;3.485456;16
1;1.168419;mouse;1;2;0.2755208;0.56875;0.2570781;0.5851974;2.44964;0.7176846;0.7000504;3.127857;3
1;1.31765;instantiate;0;3;0.2651042;0.5680556;0.2631858;0.2224713;3.323278;0;0;2.783976;17
1;1.668724;instantiate;0;4;0.6026042;0.5381944;0.460834;0.3404139;2.851273;0;0;2.355162;18
1;2.002327;mouse;1;4;0.7239583;0.5166667;0.7196192;0.5201437;1.689574;0.8219538;1.084976;3.485456;4
1;2.121208;instantiate;0;5;0.6880208;0.4763889;0.4176455;0.7767159;2.806497;0;0;2.425649;19
1;2.36834;mouse;0;5;0.5989583;0.2868056;0.5617005;0.274914;2.132745;0.8042139;0.6996155;2.355162;4
1;2.568985;instantiate;0;6;0.5833333;0.25625;0.6814771;0.2409217;2.038008;0;0;3.123984;20
1;2.602974;mouse;1;6;0.5833333;0.2548611;0.5953225;0.2530808;2.132745;0.9047824;0.9342499;2.355162;5
1;3.12114;instantiate;0;7;0.7958333;0.1583333;0.1923666;0.5509601;3.144782;0;0;3.467517;21
1;3.370331;mouse;1;7;0.7114583;0.15625;0.7342759;0.1479533;1.454776;0.7588354;0.8013458;3.123984;5
1;3.669395;instantiate;0;8;0.7734375;0.13125;0.3373022;0.7406944;2.656056;0;0;3.135288;22
1;3.704674;mouse;0;8;0.7661458;0.1298611;0.7342759;0.1479533;0;0.7588354;1.135689;3.123984;5
1;4.020157;instantiate;0;9;0.4130208;0.4895833;0.6924956;0.4183829;2.416247;0;0;3.101545;23
1;4.104279;destroy;0;9;0.4041667;0.4895833;0.3004743;0.7505983;3.323278;0;2.786629;2.783976;23
