BlockNumber;SeqNumber;ItemNumber;buttonPressed;buttonTarget;CircleTarget;timeAvailable;timeToButtonPressed
0;0;0;3;3;1;1000;1273
0;0;1;1;1;4;550;761
0;0;2;3;3;1;900;1275
0;0;3;0;0;2;750;1256
0;0;4;2;2;5;600;1656
0;0;5;0;0;0;300;960
0;0;6;1;1;3;400;877
0;0;7;2;2;0;1000;512
0;0;8;2;3;4;500;150
0;0;9;3;2;3;800;630
0;0;10;3;0;5;650;661
0;0;11;3;1;2;700;662
0;1;0;3;3;4;650;463
0;1;1;3;2;5;600;612
0;1;2;3;1;2;300;198
0;1;3;3;2;1;1000;845
0;1;4;2;1;5;900;530
0;1;5;1;0;0;800;17
0;1;6;2;3;1;750;481
0;1;7;1;2;0;400;116
0;1;8;2;1;3;1000;795
0;1;9;1;0;2;500;116
0;1;10;2;3;3;700;564
0;1;11;2;0;4;550;513
1;0;0;2;2;0;1000;976
1;0;1;2;1;3;500;463
1;0;2;2;0;2;650;663
1;0;3;2;2;5;900;916
1;0;4;2;3;1;1000;726
1;0;5;2;1;3;400;16
1;0;6;2;2;4;550;403
1;0;7;2;0;2;800;729
1;0;8;3;3;1;600;1011
1;0;9;-1;1;0;750;2500
1;0;10;-1;0;5;300;2500
1;0;11;-1;3;4;700;2500
1;1;0;-1;2;0;1000;2500
1;1;1;-1;1;3;500;2500
1;1;2;-1;0;2;650;2500
1;1;3;-1;2;5;900;2500
1;1;4;-1;3;1;1000;2500
1;1;5;-1;1;3;400;2500
1;1;6;-1;2;4;550;2500
1;1;7;-1;0;2;800;2500
1;1;8;-1;3;1;600;2500
1;1;9;-1;1;0;750;2500
1;1;10;-1;0;5;300;2500
1;1;11;-1;3;4;700;2500
