BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present
2;12,53543;instantiate;0;5;0,2523268;0,5125628;0,680877;0,1398986;0;0;0;2,5;26
2;13,81392;mouse;1;5;0,6711479;0,1373534;0,680877;0,1398986;0;0,996205;1,278488;2,5;1
2;15,0434;instantiate;0;6;0,5387797;0,1088777;0,06715798;0,7962932;0;0;0;2,5;27
2;16,85954;mouse;1;6;0,05584281;0,7881072;0,06715798;0,7962932;0;0,7933963;1,816147;2,5;1
2;17,54572;instantiate;0;7;0,04653568;0,7152429;0,05728412;0,5854369;0;0;0;2,5;28
2;18,8587;mouse;1;7;0,05894519;0,5904523;0,05728412;0,5854369;0;0,9851075;1,312988;2,5;1
2;20,0528;instantiate;0;8;0,0630817;0,5234506;0,8470687;0,7481106;0;0;0;2,5;29
2;21,73282;mouse;1;8;0,876939;0,7428811;0,8470687;0,7481106;0;0,8516369;1,680023;2,5;1
2;22,55698;instantiate;0;9;0,7352637;0,6407035;0,4814788;0,8236017;0;0;0;2,5;30
2;24,12498;mouse;1;9;0,4953464;0,8316583;0,4814788;0,8236017;0;0,8955337;1,568008;2,5;1
