BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present
0;0;instantiate;0;0;0,2554291;0,498325;0,1602993;0,664602;0;0;0;2,5;1
0;2,512283;destroy;0;0;0,1706308;0,6457286;0,1602993;0,664602;0;0;2,512283;2,5;1
0;2,512283;instantiate;0;1;0,1706308;0,6457286;0,1459535;0,612411;0;0;0;2,5;2
0;3,77507;mouse;1;1;0,1509824;0,6273032;0,1459535;0,612411;0;0,9987537;1,262787;2,5;1
0;5,023224;instantiate;0;2;0,2998966;0,5427136;0,0921154;0,6619819;0;0;0;2,5;3
0;6,470612;mouse;1;2;0,106515;0,6783919;0,0921154;0,6619819;0;0,9395638;1,447388;2,5;1
0;7,527405;instantiate;0;3;0,1251293;0,6306533;0,3091019;0,8437424;0;0;0;2,5;4
0;8,987793;mouse;1;3;0,2792141;0,8592965;0,3091019;0,8437424;0;0,9349845;1,460388;2,5;1
0;10,03296;instantiate;0;4;0,2978283;0,7244556;0,5993096;0,507144;0;0;0;2,5;5
0;11,98247;mouse;1;4;0,5770424;0,517588;0,5993096;0,507144;0;0,7289813;1,949509;2,5;1
0;12,53656;instantiate;0;5;0,5832472;0,5058627;0,4673007;0,4039282;0;0;0;2,5;6
0;14,21634;mouse;1;5;0,4239917;0,4103853;0,4673007;0,4039282;0;0,8519164;1,679779;2,5;1
0;15,04051;instantiate;0;6;0,4612203;0,4095477;0,2418078;0,08781978;0;0;0;2,5;7
0;17,09265;mouse;1;6;0,2275078;0,09966499;0,2418078;0,08781978;0;0,6732316;2,052139;2,5;1
0;17,54613;instantiate;0;7;0,2337125;0,1005025;0,5592216;0,7874811;0;0;0;2,5;8
0;19,29236;mouse;1;7;0,5449845;0,7705193;0,5592216;0,7874811;0;0,8241155;1,746231;2,5;1
0;20,04738;instantiate;0;8;0,4984488;0,69933;0,5529529;0,1623875;0;0;0;2,5;9
0;21,89842;mouse;1;8;0,5346432;0,1649916;0,5529529;0,1623875;0;0,7773379;1,851044;2,5;1
0;22,55453;instantiate;0;9;0,532575;0,1314908;0,8121688;0,7568998;0;0;0;2,5;10
0;24,33751;mouse;1;9;0,7859359;0,7713568;0,8121688;0,7568998;0;0,8080545;1,782974;2,5;1
1;0;instantiate;0;0;0,6091003;0,05276382;0,261382;0,8298859;0;0;0;2,5;11
1;2,505692;destroy;0;0;0,1871768;0,9463987;0,261382;0,8298859;0;0;2,505692;2,5;11
1;2,505692;instantiate;0;1;0,1871768;0,9463987;0,204043;0,54979;0;0;0;2,5;12
1;4,25174;mouse;1;1;0,1820062;0,5845896;0,204043;0,54979;0;0,824233;1,746048;2,5;1
1;5,010712;instantiate;0;2;0,1871768;0,520938;0,9301417;0,09403116;0;0;0;2,5;13
1;6,659195;mouse;1;2;0,9193382;0,1164154;0,9301417;0,09403116;0;0,8643304;1,648483;2,5;1
1;7,520462;instantiate;0;3;0,5894519;0,1247906;0,9255701;0,5256361;0;0;0;2,5;14
1;9,556366;mouse;1;3;0,8976215;0,5443886;0,9255701;0,5256361;0;0,6825141;2,035904;2,5;1
1;10,02568;instantiate;0;4;0,8986557;0,5326633;0,7559662;0,7688869;0;0;0;2,5;15
1;12,22385;mouse;1;4;0,762151;0,7763819;0,7559662;0,7688869;0;0,5787437;2,198166;2,5;1
1;12,52739;instantiate;0;5;0,7590486;0,7830821;0,05065501;0,4242286;0;0;0;2,5;16
1;14,39526;mouse;1;5;0,05480869;0,4154104;0,05065501;0,4242286;0;0,7692673;1,867874;2,5;1
1;15,03362;instantiate;0;6;0,05687694;0,4162479;0,8500293;0,2814963;0;0;0;2,5;17
1;16,71442;mouse;1;6;0,8500517;0,2738693;0,8500293;0,2814963;0;0,8513138;1,680801;2,5;1
1;17,53922;instantiate;0;7;0,6018614;0,2102178;0,1098761;0,2439936;0;0;0;2,5;18
1;19,06888;mouse;1;7;0,0672182;0,2504188;0,1098761;0,2439936;0;0,9098409;1,529663;2,5;1
1;20,0459;instantiate;0;8;0,2233713;0,2504188;0,5547029;0,7935646;0;0;0;2,5;19
1;21,84357;mouse;1;8;0,5480869;0,8224456;0,5547029;0,7935646;0;0,801705;1,797668;2,5;1
1;22,55261;instantiate;0;9;0,5118924;0,762144;0,6622325;0,2724776;0;0;0;2,5;20
1;24,01555;mouse;1;9;0,680455;0,2654941;0,6622325;0,2724776;0;0,9339629;1,462936;2,5;1
2;0;instantiate;0;0;0,5470527;0,2529313;0,3391833;0,2019435;0;0;0;2,5;21
2;2,32399;mouse;1;0;0,336091;0,218593;0,3391833;0,2019435;0;0,47336;2,32399;2,5;1
2;2,508316;instantiate;0;1;0,3350569;0,2177554;0,8947793;0,4544817;0;0;0;2,5;22
2;4,448959;mouse;1;1;0,8945192;0,4539363;0,8947793;0,4544817;0;0,7335181;1,940643;2,5;1
2;5,019958;instantiate;0;2;0,8697001;0,4505863;0,1632469;0,9063478;0;0;0;2,5;23
2;6,884109;mouse;0;2;0,1199586;0,9329983;0,1632469;0,9063478;0;0,77103;1,864151;2,5;1
2;7,522995;destroy;0;2;0,1654602;0,9271357;0,1632469;0,9063478;0;0;2,503036;2,5;23
2;7,522995;instantiate;0;3;0,1654602;0,9271357;0,9103363;0,4138727;0;0;0;2,5;24
2;7,573318;mouse;0;3;0,1633919;0,9237856;0,9103363;0,4138727;0;0,2346522;0,05032349;2,5;1
2;9,910507;mouse;0;3;0,8376422;0,419598;0,9103363;0,4138727;0;0,4040662;2,387512;2,5;1
2;10,02885;destroy;0;3;0,8562565;0,4187605;0,9103363;0,4138727;0;0;2,505859;2,5;24
2;10,02885;instantiate;0;4;0,8562565;0,4187605;0,2874646;0,5566208;0;0;0;2,5;25
2;11,79469;mouse;1;4;0,2523268;0,5670017;0,2874646;0,5566208;0;0,8157103;1,765839;2,5;1
