BlockNumber;SeqNumber;ItemNumber;buttonPressed;buttonTarget;CircleTarget;timeAvailable;timeToButtonPressed
0;0;0;-1;3;1;1000;2500
0;0;1;3;1;4;550;1012
0;0;2;-1;3;1;900;2500
0;0;3;3;0;2;750;2025
0;0;4;3;2;5;600;810
0;0;5;3;0;0;300;462
0;0;6;3;1;3;400;463
0;0;7;3;2;0;1000;828
0;0;8;3;3;4;500;401
0;0;9;3;2;3;800;814
0;0;10;3;0;5;650;413
0;0;11;-1;1;2;700;2500
0;1;0;-1;3;4;650;2500
0;1;1;-1;2;5;600;2500
0;1;2;-1;1;2;300;2500
0;1;3;-1;2;1;1000;2500
0;1;4;3;1;5;900;781
0;1;5;-1;0;0;800;2500
0;1;6;-1;3;1;750;2500
0;1;7;-1;2;0;400;2500
0;1;8;-1;1;3;1000;2500
0;1;9;3;0;2;500;898
0;1;10;-1;3;3;700;2500
0;1;11;3;0;4;550;847
1;0;0;-1;2;0;1000;2500
1;0;1;-1;1;3;500;2500
1;0;2;3;0;2;650;731
1;0;3;-1;2;5;900;2500
1;0;4;-1;3;1;1000;2500
1;0;5;3;1;3;400;897
1;0;6;-1;2;4;550;2500
1;0;7;3;0;2;800;819
1;0;8;-1;3;1;600;2500
1;0;9;-1;1;0;750;2500
1;0;10;3;0;5;300;781
1;0;11;-1;3;4;700;2500
1;1;0;-1;2;0;1000;2500
1;1;1;-1;1;3;500;2500
1;1;2;3;0;2;650;965
1;1;3;-1;2;5;900;2500
1;1;4;-1;3;1;1000;2500
1;1;5;3;1;3;400;1179
1;1;6;-1;2;4;550;2500
1;1;7;3;0;2;800;781
1;1;8;-1;3;1;600;2500
1;1;9;-1;1;0;750;2500
1;1;10;3;0;5;300;749
1;1;11;-1;3;4;700;2500
