BlockNumber;Time Since Block start in ms;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present
0;0;instantiate;0;0;0,5278311;0,4170854;0,3491458;0,08513844;0;0;0;1;1
0;0,7889681;mouse;1;0;0,3435701;0,1080402;0,3491458;0,08513844;0;0,730525;0,7889681;1;1
0;1,006973;instantiate;0;1;0,353167;0,1063652;0,9395804;0,2922948;0;0;0;1;2
0;1,762045;mouse;1;1;0,9558541;0,2906198;0,9395804;0,2922948;0;0,7717291;0,7550716;1;2
0;2,014717;instantiate;0;2;0,8809981;0,2822446;0,0594314;0,572095;0;0;0;1;3
0;2,772658;mouse;1;2;0,07677543;0,5762144;0,0594314;0,572095;0;0,7683294;0,7579412;1;1
0;3,024905;instantiate;0;3;0,2879079;0,5720268;0,2568098;0,5576278;0;0;0;1;4
0;3,712912;mouse;1;3;0,2447217;0,5309883;0,2568098;0,5576278;0;0,8454925;0,6880064;1;2
0;4,032241;instantiate;0;4;0,2629558;0,5284757;0,09073848;0,4863004;0;0;0;1;5
0;4,702562;mouse;1;4;0,08829175;0,4849246;0,09073848;0,4863004;0;0,863406;0,6703215;1;1
1;0;instantiate;0;0;0,4808061;0,4958124;0,05714914;0,6384302;0;0;0;1;6
1;0,9417057;mouse;1;0;0,06621881;0,6323283;0,05714914;0,6384302;0;0,4681169;0,9417057;1;1
1;1,009037;instantiate;0;1;0,06621881;0,6331658;0,78017;0,3501272;0;0;0;1;7
1;1,865757;mouse;1;1;0,768714;0,3458962;0,78017;0,3501272;0;0,6341988;0,85672;1;2
1;2,017761;instantiate;0;2;0,7667946;0,3458962;0,8595013;0,4512198;0;0;0;1;8
1;2,878057;mouse;1;2;0,8646833;0,4447236;0,8595013;0,4512198;0;0,6287191;0,8602962;1;1
1;3,029945;instantiate;0;3;0,8637236;0,4447236;0,2567273;0,1488937;0;0;0;1;9
1;3,938244;mouse;1;3;0,2658349;0,1649916;0,2567273;0,1488937;0;0,5424619;0,9082985;1;1
1;4,039568;instantiate;0;4;0,2658349;0,1649916;0,1279781;0,6912827;0;0;0;1;10
1;4,816132;mouse;1;4;0,1372361;0,6959799;0,1279781;0,6912827;0;0,7460384;0,7765636;1;2
