BlockNumber;Time Since Block start in ms;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present
0;0;instantiate;0;0;0.4915694;0.8269485;0.6833283;0.521964;0;0;0;1;1
0;1.011312;destroy;0;0;0.5421531;0.7344782;0.6833283;0.521964;0;0;1.011312;1;1
0;1.011312;instantiate;0;1;0.5421531;0.7344782;0.4581598;0.7474472;0;0;0;1;2
0;1.662852;mouse;1;1;0.465629;0.7503303;0.4581598;0.7474472;0;0.8822187;0.6515398;1;1
0;2.019799;instantiate;0;2;0.4915694;0.660502;0.3026718;0.2151463;0;0;0;1;3
0;2.92272;mouse;1;2;0.3022049;0.2153236;0.3026718;0.2151463;0;0.5537372;0.9029207;1;1
0;3.0247;instantiate;0;3;0.2931258;0.2285337;0.3839315;0.6073923;0;0;0;1;4
0;3.86613;mouse;1;3;0.3897536;0.6221929;0.3839315;0.6073923;0;0.6578724;0.8414297;1;2
0;4.036112;instantiate;0;4;0.383917;0.5891678;0.4300999;0.5835505;0;0;0;1;5
0;4.67491;mouse;1;4;0.42607;0.5825627;0.4300999;0.5835505;0;0.8943651;0.6387978;1;2
1;0;instantiate;0;0;0.4351492;0.4980185;0.2746211;0.9069739;0;0;0;1;6
1;0.8036785;mouse;0;0;0.2976654;0.8890356;0.2746211;0.9069739;0;0.7113019;0.8036785;1;1
1;1.007669;destroy;0;0;0.2782101;0.8996037;0.2746211;0.9069739;0;0;1.007669;1;6
1;1.007669;instantiate;0;1;0.2782101;0.8996037;0.7352825;0.691379;0;0;0;1;7
1;1.14344;mouse;0;1;0.2801556;0.9022457;0.7352825;0.691379;0;0.5627133;0.1357708;1;1
1;1.852432;mouse;0;1;0.76524;0.661823;0.7352825;0.691379;0;0.6528464;0.8447628;1;1
1;2.022985;destroy;0;1;0.730869;0.7040951;0.7352825;0.691379;0;0;1.015316;1;7
1;2.022985;instantiate;0;2;0.730869;0.7040951;0.8690975;0.5435742;0;0;0;1;8
1;2.840181;mouse;1;2;0.8780804;0.5310436;0.8690975;0.5435742;0;0.6946928;0.8171959;1;1
1;3.026924;instantiate;0;3;0.8664073;0.5482166;0.8560833;0.4700789;0;0;0;1;9
1;3.060823;mouse;1;3;0.8664073;0.5482166;0.8690975;0.5435742;0;0.6946928;1.037838;1;2
1;3.641014;mouse;1;3;0.8560311;0.4980185;0.8552915;0.4656081;0;0.9172192;0.61409;1;2
1;4.034876;instantiate;0;4;0.8151751;0.4266843;0.5324193;0.2202691;0;0;0;1;10
1;4.752028;mouse;1;4;0.5181583;0.2179656;0.5324193;0.2202691;0;0.831523;0.7171516;1;1
