BlockNumber;Time Since Block start in ms;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present
0;0;instantiate;0;0;0,5057582;0,4798995;0,7862231;0,1290443;0;0;0;1;1
0;0,9940033;mouse;0;0;0,8214971;0,1180905;0,7862231;0,1290443;0;0,2919027;0,9940033;1;1
0;1,010986;destroy;0;0;0,8214971;0,1180905;0,7862231;0,1290443;0;0;1,010986;1;1
0;1,010986;instantiate;0;1;0,8214971;0,1180905;0,2804619;0,9116322;0;0;0;1;2
0;1,968994;mouse;1;1;0,3023033;0,9137353;0,2804619;0,9116322;0;0,4253288;0,9580078;1;1
0;2,019073;instantiate;0;2;0,3023033;0,9137353;0,7528307;0,6708604;0;0;0;1;3
0;2,776619;mouse;1;2;0,768714;0,657454;0,7528307;0,6708604;0;0,7688039;0,7575455;1;2
0;3,02729;instantiate;0;3;0,756238;0,5896147;0,06038412;0,1797068;0;0;0;1;4
0;3,819794;mouse;1;3;0,07197697;0,1842546;0,06038412;0,1797068;0;0,7254954;0,7925034;1;1
0;4,038445;instantiate;0;4;0,268714;0,2420436;0,5556965;0,08342311;0;0;0;1;5
0;4,909492;mouse;1;4;0,5738963;0,08040201;0,5556965;0,08342311;0;0,6115723;0,871048;1;1
1;0;instantiate;0;0;0,428023;0,3484087;0,7861624;0,5816313;0;0;0;1;6
1;0,924324;mouse;1;0;0,793666;0,5837521;0,7861624;0,5816313;0;0,5088212;0,924324;1;1
1;1,008018;instantiate;0;1;0,793666;0,5837521;0,8497347;0,4655808;0;0;0;1;7
1;1,882019;mouse;1;1;0,8550864;0,4681742;0,8497347;0,4655808;0;0,6060991;0,8740005;1;2
1;2,017998;instantiate;0;2;0,8512476;0,458124;0,8202428;0,2396705;0;0;0;1;8
1;2,841988;mouse;1;2;0,8262956;0,2261306;0,8202428;0,2396705;0;0,6833489;0,8239899;1;2
1;3,026329;instantiate;0;3;0,8032629;0,2035176;0,1637077;0,3626451;0;0;0;1;9
1;3,799011;mouse;1;3;0,1458733;0,3609715;0,1637077;0,3626451;0;0,7509467;0,7726822;1;2
1;4,034676;instantiate;0;4;0,1976967;0,3291457;0,2885873;0,3195562;0;0;0;1;10
1;4,809319;mouse;1;4;0,3013436;0,3442211;0,2885873;0,3195562;0;0,7480872;0,7746429;1;1
