BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;0,4372273;0,5280136;0,6374951;0,05835563;0;0;0;2,5;1;0;0;0;0
0;2,510208;destroy;0;0;0,6602036;0,06281833;0,6374951;0,08028215;0;0;2,510208;2,5;1;0;0;0;0
0;2,510208;instantiate;0;1;0,6602036;0,06281833;0,7076791;0,7539524;0;0;0;2,5;2;0;0;0;0
0;4,81395;mouse;1;1;0,6926805;0,7478778;0,7076791;0,7539524;0;0,5947045;2,303741;2,5;1;0,06781006;0,6324666;0,01306039;2,941136
0;5,016922;instantiate;0;2;0,6907417;0,745331;0,1445777;0,6074793;0;0;0;2,5;3;0;0;0;0
0;7,336929;mouse;1;2;0,1347552;0,6179966;0,1445777;0,6074793;0;0,5817875;2,320007;2,5;1;0,4680023;0,1196808;0,01439078;1,119467
0;7,523926;instantiate;0;3;0,1313621;0,6179966;0,3611988;0,3112735;0;0;0;2,5;4;0;0;0;0
0;9,642258;mouse;1;3;0,3756665;0,3106961;0,3611988;0,3112735;0;0,7063181;2,118332;2,5;1;0,4036865;0,1909578;0,01447918;0,9772092
0;10,03001;instantiate;0;4;0,3737276;0,3106961;0,1407098;0,1930669;0;0;0;2,5;5;0;0;0;0
0;12,28325;mouse;1;4;0,1429956;0,2011885;0,1407098;0,1930669;0;0,6293404;2,253235;2,5;1;0,4529266;0,3028851;0,008437109;1,217203
0;12,53523;instantiate;0;5;0,1429956;0,2011885;0,7551978;0,3094539;0;0;0;2,5;6;0;0;0;0
0;14,58725;mouse;1;5;0,7561803;0,3132428;0,7551978;0,3094539;0;0,7386419;2,052017;2,5;1;0,336319;0,3227749;0,003914209;2,09025
0;15,04178;instantiate;0;6;0,7426078;0,2996604;0,6265575;0,7742779;0;0;0;2,5;7;0;0;0;0
0;16,64201;mouse;1;6;0,6335434;0,7886248;0,6265575;0,7742779;0;0,9068028;1,600235;2,5;1;0,01667786;0,1117471;0,0159573;1,754845
0;17,55214;instantiate;0;7;0,6102763;0,7640068;0,8569722;0,256311;0;0;0;2,5;8;0;0;0;0
0;19,49512;mouse;0;7;0,8313136;0,2606112;0,8569722;0,256311;0;0,785862;1,942978;2,5;1;0,01667786;0,1117471;0,0159573;1,754845
0;20,03378;mouse;0;7;0,8671837;0,2665535;0,8569722;0,256311;0;0,3922778;2,481644;2,5;1;0,01667786;0,1117471;0,0159573;1,754845
0;20,06773;destroy;0;7;0,8671837;0,2665535;0,8569722;0,256311;0;0;2,515594;2,5;8;0;0;0;0
0;20,06773;instantiate;0;8;0,8671837;0,2665535;0,8398849;0,6767301;0;0;0;2,5;9;0;0;0;0
0;22,57419;destroy;0;8;0,8211343;0,7122241;0,8398849;0,6767301;0;0;2,506454;2,5;9;0;0;0;0
0;22,57419;instantiate;0;9;0,8211343;0,7122241;0,3750678;0,9488301;0;0;0;2,5;10;0;0;0;0
0;24,4458;mouse;1;9;0,3654872;0,9142615;0,3750678;0,9235046;0;0,8141265;1,871613;2,5;1;0,2019196;0,2110407;0,01272744;1,996168
1;0;instantiate;0;0;0,4003878;0,2894737;0,671187;0,6984718;0;0;0;2,5;11;0;0;0;0
1;2,241089;mouse;1;0;0,6805623;0,713073;0,671187;0,6984718;0;0,6369393;2,241089;2,5;1;0,4036865;0,1447029;0,01735198;1,787035
1;2,508743;instantiate;0;1;0,6805623;0,713073;0,5953234;0,6274863;0;0;0;2,5;12;0;0;0;0
1;4,009537;mouse;1;1;0,592826;0,6409168;0,5953234;0,6274863;0;0,9364036;1,500793;2,5;1;0,2193146;-0,001715221;0,01366076;0,2350512
1;5,021118;instantiate;0;2;0,5845855;0,6273345;0,1707028;0,1206566;0;0;0;2,5;13;0;0;0;0
1;7,211578;mouse;1;2;0,1599612;0,1196944;0,1707028;0,1206566;0;0,667627;2,19046;2,5;1;0,386261;0,5533319;0,01078463;2,176952
1;7,529709;instantiate;0;3;0,1599612;0,1196944;0,2453786;0,8430223;0;0;0;2,5;14;0;0;0;0
1;9,883972;mouse;1;3;0,2544838;0,8353141;0,2453786;0,8430223;0;0,5536386;2,354263;2,5;1;0,268631;0,1217552;0,01192977;1,26875
1;10,03532;instantiate;0;4;0,2544838;0,8404075;0,8792451;0,6848915;0;0;0;2,5;15;0;0;0;0
1;12,54498;destroy;0;4;0,8526418;0,7461799;0,8792451;0,6848915;0;0;2,509659;2,5;15;0;0;0;0
1;12,54498;instantiate;0;5;0,8526418;0,7461799;0,2926386;0,4013709;0;0;0;2,5;16;0;0;0;0
1;15,03586;mouse;1;5;0,2898691;0,4117148;0,2926386;0,4013709;0;0,3694305;2,490875;2,5;1;0,0333252;0,3190759;0,01070815;2,703731
1;15,05252;instantiate;0;6;0,2898691;0,4117148;0,9321621;0,5840981;0;0;0;2,5;17;0;0;0;0
1;17,56027;mouse;1;6;0,9331071;0,5950764;0,9321621;0,5840981;0;0,3108144;2,507751;2,5;1;0,4869843;0,2472371;0,01101888;1,112547
1;17,56027;instantiate;0;7;0,9331071;0,5950764;0,900249;0,8005637;0;0;0;2,5;18;0;0;0;0
1;20,07301;destroy;0;7;0,8923897;0,8174872;0,900249;0,8005637;0;0;2,512741;2,5;18;0;0;0;0
1;20,07301;instantiate;0;8;0,8923897;0,8174872;0,6348581;0,3038501;0;0;0;2,5;19;0;0;0;0
1;20,27634;mouse;0;8;0,8826951;0,7775891;0,6348581;0,3038501;0;0,5738928;0,2033234;2,5;1;0,4869843;0,2472371;0,01101888;1,112547
1;22,1076;mouse;1;8;0,6417838;0,3225806;0,6348581;0,3038501;0;0,746482;2,034592;2,5;1;0,05102539;0,4484439;0,01996994;1,690784
1;22,57704;instantiate;0;9;0,6354823;0,3123939;0,4577309;0,624651;0;0;0;2,5;20;0;0;0;0
1;24,72615;mouse;1;9;0,4459525;0,6315789;0,4577309;0,624651;0;0,6902914;2,149109;2,5;1;0,06681824;0,1980986;0,01371226;0,5596529
2;0;instantiate;0;0;0,4125061;0,4864177;0,5604074;0,7342008;0;0;0;2,5;21;0;0;0;0
2;2,376099;mouse;1;0;0,5501696;0,7275043;0,5604074;0,7342008;0;0,5341104;2,376099;2,5;1;0,7720184;0,04091874;0,01223336;0,7081898
2;2,511093;instantiate;0;1;0,5501696;0,7275043;0,138115;0,548399;0;0;0;2,5;22;0;0;0;0
2;5,020081;destroy;0;1;0,1439651;0,5602716;0,138115;0,548399;0;0;2,508987;2,5;22;0;0;0;0
2;5,020081;instantiate;0;2;0,1439651;0,5602716;0,2816408;0,9441975;0;0;0;2,5;23;0;0;0;0
2;5,071426;mouse;0;2;0,1439651;0,5602716;0,2816408;0,9441975;0;0,3899697;0,05134583;2,5;1;0,7720184;0,04091874;0,01223336;0,7081898
2;7,125534;mouse;1;2;0,2952012;0,9303905;0,2816408;0,9234475;0;0,7128036;2,105453;2,5;1;0,5540009;0,0443731;0,01606172;0,9340924
2;7,53154;instantiate;0;3;0,2932622;0,9303905;0,9384088;0,818051;0;0;0;2,5;24;0;0;0;0
2;10,03554;destroy;0;3;0,9398934;0,8327674;0,9384088;0,818051;0;0;2,503998;2,5;24;0;0;0;0
2;10,03554;instantiate;0;4;0,9398934;0,8327674;0,7729596;0,8299929;0;0;0;2,5;25;0;0;0;0
2;10,42386;mouse;0;4;0,942317;0,8327674;0,7729596;0,8299929;0;0,6923044;0,3883209;2,5;1;0,5540009;0,0443731;0,01606172;0,9340924
2;11,51503;mouse;1;4;0,7804168;0,8497453;0,7729596;0,8299929;0;0,9426314;1,479492;2,5;1;0,488678;0,2089268;0,02111318;1,43924
2;12,54358;instantiate;0;5;0,7198255;0,6494058;0,3138295;0,8948755;0;0;0;2,5;26;0;0;0;0
2;14,64775;mouse;0;5;0,3286476;0,9312394;0,3138295;0,8948755;0;0,7134424;2,104172;2,5;1;0,488678;0,2089268;0,02111318;1,43924
2;15,05342;destroy;0;5;0,2971401;0,9151103;0,3138295;0,8948755;0;0;2,509842;2,5;26;0;0;0;0
2;15,05342;instantiate;0;6;0,2971401;0,9151103;0,9195181;0,6042647;0;0;0;2,5;27;0;0;0;0
2;15,43933;mouse;0;6;0,3131362;0,9083192;0,9195181;0,6042647;0;0,6910152;0,38591;2,5;1;0,488678;0,2089268;0,02111318;1,43924
2;17,56068;destroy;0;6;0,9064469;0,614601;0,9195181;0,6042647;0;0;2,507263;2,5;27;0;0;0;0
2;17,56068;instantiate;0;7;0,9064469;0,614601;0,1093069;0,1280001;0;0;0;2,5;28;0;0;0;0
2;17,89771;mouse;0;7;0,904508;0,6052632;0,1093069;0,1280001;0;0,6638721;0,3370209;2,5;1;0,488678;0,2089268;0,02111318;1,43924
2;20,06694;destroy;0;7;0,09597673;0,1256367;0,1093069;0,1280001;0;0;2,506256;2,5;28;0;0;0;0
2;20,06694;instantiate;0;8;0,09597673;0,1256367;0,8995966;0,7550929;0;0;0;2,5;29;0;0;0;0
2;20,43576;mouse;0;8;0,1037324;0,1332767;0,8995966;0,7550929;0;0,6817787;0,3688202;2,5;1;0,488678;0,2089268;0,02111318;1,43924
2;22,48962;mouse;1;8;0,9006302;0,762309;0,8995966;0,7550929;0;0,4841437;2,422684;2,5;1;0,1845245;0,2649765;0,007289736;2,729501
2;22,57295;instantiate;0;9;0,9006302;0,762309;0,1920261;0,4088126;0;0;0;2,5;30;0;0;0;0
2;25,08203;destroy;0;9;0,1934077;0,4303905;0,1920261;0,4088126;0;0;2,509079;2,5;30;0;0;0;0
