BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present
0;0;instantiate;0;0;0,4925987;0,3626466;0,7180765;0,5997349;1;0;0;2,5;1
0;1,785061;mouse;1;0;0,6019737;0,5686767;0,5851014;0,5575172;0,7985309;0,8071361;1,785061;2,5;1
0;2,255116;instantiate;0;1;0,5888158;0,5628141;0,9176449;0,05973891;1;0;0;2,5;2
0;4,576477;mouse;1;1;0,7639803;0,1281407;0,7537408;0,1235871;0,7744377;0,4762479;2,321362;2,5;1
0;5,228573;instantiate;0;2;0,7253289;0,1365159;0,822655;0,4116135;1;0;0;2,5;3
0;6,572399;mouse;1;2;0,8330592;0,3308208;0,8515561;0,3065695;0,8112116;0,9749488;1,343826;2,5;1
0;8,071362;instantiate;0;3;0,6217105;0,3291457;0,4768991;0,2771432;1;0;0;2,5;4
0;10,17043;instantiate;0;4;0,5386513;0,1926298;0,6249066;0,4406164;1;0;0;2,5;5
0;10,42314;mouse;0;4;0,5411184;0,1742043;0,5839543;0,1520822;0,7087637;0,4447439;2,35178;2,5;2
0;10,57615;destroy;0;4;0,5427632;0,1700168;0,5907876;0,1440996;1;0;2,504791;2,5;5
0;12,14071;instantiate;0;5;0,7450658;0,5008375;0,3135365;0,6979489;1;0;0;2,5;6
0;12,46073;mouse;0;5;0,7475329;0,5025126;0,7891594;0,5007861;0,7815892;0,5051455;2,290302;2,5;2
0;12,67984;destroy;0;5;0,7483553;0,5;0,8047454;0,5064956;1;0;2,509407;2,5;6
0;14,17426;instantiate;0;6;0,147204;0,7278057;0,5673461;0,185142;1;0;0;2,5;7
0;14,44433;mouse;0;6;0,1233553;0,7345059;0,1021733;0,7118011;0,9414869;0,4927495;2,303619;2,5;2
0;14,6459;destroy;0;6;0,08881579;0,7386935;0,08379388;0,7130055;1;0;2,505184;2,5;7
0;16,61551;instantiate;0;7;0,5345395;0,4329983;0,7514369;0,8416305;1;0;0;2,5;8
0;16,68217;destroy;0;7;0,5361842;0,4296483;0,5484694;0,4149501;1;0;2,507915;2,5;8
0;19,12154;destroy;0;7;0,8256579;0,977387;0,8347701;0,9253499;1;0;2,506031;2,5;8
0;19,5419;instantiate;0;8;0,7960526;0,9095477;0,2027172;0,6072688;1;0;0;2,5;9
0;21,23957;mouse;0;8;0,227796;0,69933;0,2706386;0,707438;0,7188542;0,8444042;1,697666;2,5;1
0;21,50827;instantiate;0;9;0,227796;0,69933;0,2916027;0,08126548;1;0;0;2,5;10
0;22,04759;destroy;0;9;0,290296;0,5904523;0,3026016;0,7545764;1;0;2,505684;2,5;10
0;24,01291;destroy;0;10;0,3536184;0,0921273;0,3641409;0,08027586;1;0;2,504642;2,5;10
1;0;instantiate;0;0;0,3560855;0,02512563;0,5364887;0,05282274;1;0;0;2,5;11
1;1,984711;instantiate;0;1;0,4194079;0,1758794;0,5983566;0,8365507;1;0;0;2,5;12
1;2,5056;destroy;0;1;0,4202303;0,1758794;0,4126863;0,1757729;1;0;2,5056;2,5;12
1;2,522591;mouse;0;1;0,4202303;0,1758794;0,5615071;0,820952;0,7649823;0,7045863;0,5378799;2,5;1
1;4,455315;mouse;0;1;0,4350329;0,8107203;0,4279275;0,7644068;0,7649823;0,2670303;2,470604;2,5;1
1;4,471985;instantiate;0;2;0,4342105;0,8098828;0,4608653;0,4170396;1;0;0;2,5;13
1;4,488785;destroy;0;2;0,4342105;0,8073702;0,4256243;0,7634319;1;0;2,504074;2,5;13
1;5,853806;mouse;1;2;0,4835526;0,5058627;0,5172541;0,4957495;0,715695;0,9621915;1,381821;2,5;1
1;6,879829;instantiate;0;3;0,5460526;0,4271357;0,2173825;0,09412399;1;0;0;2,5;14
1;8,695488;mouse;1;3;0,2047697;0,08710217;0,2260186;0,08032027;0,0443175;0,7934619;1,815659;2,5;1
1;9,794113;instantiate;0;4;0,225329;0,1423786;0,8960487;0,3944333;1;0;0;2,5;15
1;11,49213;mouse;0;4;0,8832237;0,298995;0,8768694;0,2446239;0,8921427;0,8442611;1,698013;2,5;1
1;12,2968;destroy;0;4;0,8157895;0,1968174;0,8678443;0,174125;1;0;2,502686;2,5;15
1;12,2968;instantiate;0;5;0,8157895;0,1968174;0,426794;0,05522734;1;0;0;2,5;16
1;14,41702;mouse;1;5;0,5583882;0,1055276;0,5654944;0,08026281;0,663896;0,6317032;2,120224;2,5;1
1;14,8527;instantiate;0;6;0,5542763;0,1021776;0,1060152;0,2085093;1;0;0;2,5;17
1;16,63301;mouse;1;6;0,01480263;0,2872697;0,01763144;0,2961377;0,7071705;0,8095247;1,780312;2,5;1
1;17,32468;instantiate;0;7;0,03536184;0,2520938;0,4613508;0,5557013;1;0;0;2,5;18
1;19,1058;mouse;1;7;0,5205592;0,6214405;0,5567907;0,6361457;0,7102447;0,8088672;1,781128;2,5;1
1;19,35728;instantiate;0;8;0,5271382;0,6306533;0,1322643;0,3015667;1;0;0;2,5;19
1;21,72951;mouse;0;8;0,01151316;0,2211055;-0,006457925;0,2070914;0,7209063;0,4218128;2,372223;2,5;1
1;21,86285;destroy;0;8;0,01151316;0,2211055;-0,01427329;0,2017688;1;0;2,505562;2,5;19
1;22,29839;instantiate;0;9;0,03289474;0,1666667;0,9035891;0,8915781;1;0;0;2,5;20
1;24,80338;destroy;0;10;0,6661184;0,541876;1,034313;0,7756817;1;0;2,504997;2,5;20
