BlockNumber;Time Since Block start in ms;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present
0;0;instantiate;0;0;0.5281501;0.4110236;0.1296903;0.5862248;2.470464;0;0;1.125888;1
0;0.3568764;instantiate;0;1;0.3663986;0.503937;0.5233352;0.3990471;2.334649;0;0;1.16382;2
0;0.7499352;mouse;1;1;0.1358356;0.4015748;0.1241512;0.4103315;2.344165;0.8680133;0.7499352;1.125888;2
0;0.8007832;instantiate;0;2;0.1206434;0.3937008;0.8879357;0.2106411;2.477292;0;0;1.0382;3
0;1.259656;instantiate;0;3;0.4629133;0.2188976;0.1764689;0.2892522;2.254379;0;0;1.075529;4
0;1.412584;mouse;0;3;0.5397676;0.2330709;0.570011;0.235671;1.738552;0.540638;1.055708;1.16382;4
0;1.531471;destroy;0;3;0.5379803;0.2346457;0.5751972;0.217518;2.334649;0;1.174595;1.16382;4
0;1.599444;instantiate;0;4;0.5701519;0.2283465;0.08547866;0.2821988;2.116205;0;0;1.078576;5
0;1.854443;destroy;0;4;0.8078642;0.2393701;0.8624878;0.2068425;2.477292;0;1.053659;1.0382;5
0;2.024487;instantiate;0;5;0.5040215;0.2614173;0.8477843;0.05496359;2.13931;0;0;1.164021;6
0;2.347475;destroy;0;5;0.2546917;0.4346457;0.2225734;0.4527198;2.254379;0;1.087819;1.075529;6
0;2.466512;instantiate;0;6;0.2243074;0.4661417;0.1320458;0.08622083;2.09272;0;0;1.188298;7
0;2.483497;mouse;0;6;0.2225201;0.4661417;0.06699392;0.4333965;1.781054;0.6877066;0.8840523;1.078576;3
0;2.687518;destroy;0;6;0.106345;0.4519685;0.06237274;0.471196;2.116205;0;1.088074;1.078576;7
0;2.789546;mouse;0;6;0.09830206;0.4755906;0.1259878;0.1454425;1.801677;0.7668926;0.3230343;1.188298;2
0;2.789546;instantiate;0;7;0.09830206;0.4755906;0.2069892;0.1693615;2.082003;0;0;1.165941;8
0;3.146605;mouse;0;7;0.1152815;0.2818898;0.1196269;0.2076253;1.801677;0.9518279;0.6800928;1.188298;3
0;3.19755;destroy;0;7;0.1152815;0.2771654;0.9387029;0.03728476;2.13931;0;1.173063;1.164021;8
0;3.21455;instantiate;0;8;0.1143878;0.2724409;0.1606194;0.8550547;2.264093;0;0;1.018761;9
0;3.299482;mouse;1;8;0.1242181;0.2299213;0.1169008;0.2342751;1.801677;0.8294519;0.8329706;1.188298;3
0;3.605533;instantiate;0;9;0.1644325;0.08503937;0.4495477;0.7696764;2.354536;0;0;1.146879;10
0;3.709538;mouse;0;9;0.1671135;0.05354331;0.164068;0.09159756;1.503994;0.7279037;0.9199924;1.165941;4
