BlockNumber;Time Since Block start in ms;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present
0;0;instantiate;0;0;0.384375;0.6592593;0.8619722;0.6328345;3.179286;0;0;3.058432;1
0;0.3667793;instantiate;0;1;0.5515625;0.5638889;0.06348419;0.1443027;2.370708;0;0;2.95815;2
0;0.7350731;instantiate;0;2;0.8755208;0.4157407;0.5888176;0.9464996;3.496975;0;0;2.227634;3
0;0.884346;mouse;1;2;0.8828125;0.4083333;0.8856001;0.393442;2.746016;0.7969441;0.884346;3.058432;3
0;1.134224;instantiate;0;3;0.5322917;0.3490741;0.8579677;0.8017617;2.5035;0;0;2.609297;4
0;1.534344;instantiate;0;4;0.1640625;0.3240741;0.7772127;0.4764172;2.277313;0;0;3.046019;5
0;1.684845;mouse;1;4;0.1333333;0.3277778;0.13082;0.3373622;1.721828;0.9496528;1.318066;2.95815;5
0;2.352093;mouse;1;5;0.5140625;0.6425926;0.5097296;0.625072;2.322884;0.795531;1.61702;2.227634;4
0;3.069847;mouse;1;5;0.7947916;0.7796296;0.7760797;0.7650579;1.683719;0.7761769;1.935623;2.609297;3
0;3.685852;mouse;1;5;0.859375;0.4777778;0.8580322;0.4789023;2.264104;0.8138013;2.151508;3.046019;2
1;0;instantiate;0;0;0.4921875;0.4435185;0.7645543;0.5567853;2.730103;0;0;2.567688;6
1;0.482914;instantiate;0;1;0.4921875;0.4435185;0.4272362;0.083105;2.248916;0;0;2.610004;7
1;0.9661827;instantiate;0;2;0.4921875;0.4435185;0.3194728;0.9323679;3.034375;0;0;3.232074;8
1;1.484959;instantiate;0;3;0.503125;0.4611111;0.5580457;0.3458554;2.473901;0;0;3.351691;9
1;1.885002;mouse;1;3;0.5770833;0.4009259;0.5665701;0.3935596;2.055948;0.7844145;1.885002;2.567688;4
1;1.985203;instantiate;0;4;0.5546875;0.4;0.6995804;0.2706375;3.178585;0;0;3.090405;10
1;2.269009;mouse;0;4;0.5208333;0.2648148;0.5185601;0.2218758;1.815174;0.7313972;0.78405;3.351691;5
1;2.803188;mouse;0;5;0.6786458;0.07685185;0.6630905;0.1407155;2.901155;0.5602885;2.320274;2.610004;5
1;3.084793;mouse;0;5;0.6614583;0.1712963;0.6602632;0.2229257;2.901155;0.2029524;2.601879;2.610004;4
1;3.10239;destroy;0;5;0.6614583;0.1712963;0.6600969;0.2277615;2.248916;0;2.619476;2.610004;10
1;3.737362;mouse;1;5;0.84375;0.1509259;0.8314297;0.1380777;2.014393;0.9489326;1.752159;3.090405;3
1;4.171013;mouse;0;5;0.4869792;0.2259259;0.4397233;0.2324273;1.685714;0.6986306;2.686054;3.351691;3
1;4.202744;destroy;0;5;0.4869792;0.2259259;0.07542184;0.5691808;3.034375;0;3.236561;3.232074;10
1;4.504322;mouse;1;5;0.4380208;0.2694444;0.4286623;0.2851845;1.685714;0.534003;3.019363;3.351691;2
