Color;Pos;Invervall
2;0;1000
1;3;500
0;2;650
2;5;900
3;1;1000
1;3;400
2;4;550
0;2;800
3;1;600
1;0;750
0;5;300
3;4;700
2;0;1000
1;3;500
0;2;650
2;5;900
3;1;1000
1;3;400
2;4;550
0;2;800
3;1;600
1;0;750
0;5;300
3;4;700
2;0;1000
1;3;500
0;2;650
2;5;900
3;1;1000
1;3;400
2;4;550
0;2;800
3;1;600
1;0;750
0;5;300
3;4;700
2;0;1000
1;3;500
0;2;650
2;5;900
3;1;1000
1;3;400
2;4;550
0;2;800
3;1;600
1;0;750
0;5;300
3;4;700
2;0;1000
1;3;500
0;2;650
2;5;900
3;1;1000
1;3;400
2;4;550
0;2;800
3;1;600
1;0;750
0;5;300
3;4;700
2;0;1000
1;3;500
0;2;650
2;5;900
3;1;1000
1;3;400
2;4;550
0;2;800
3;1;600
1;0;750
0;5;300
3;4;700
2;0;1000
1;3;500
0;2;650
2;5;900
3;1;1000
1;3;400
2;4;550
0;2;800
3;1;600
1;0;750
0;5;300
3;4;700
2;0;1000
1;3;500
0;2;650
2;5;900
3;1;1000
1;3;400
2;4;550
0;2;800
3;1;600
1;0;750
0;5;300
3;4;700
2;0;1000
1;3;500
0;2;650
2;5;900
3;1;1000
1;3;400
2;4;550
0;2;800
3;1;600
1;0;750
0;5;300
3;4;700
2;0;1000
1;3;500
0;2;650
2;5;900
3;1;1000
1;3;400
2;4;550
0;2;800
3;1;600
1;0;750
0;5;300
3;4;700
