BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;0,7146871;0,3187086;0,4424942;0,2833251;0;0;0;2,131951;1;0;0;0;0
0;0,7264547;mouse;1;0;0,4366162;0,3187086;0,4424942;0,2833251;0;1;0,7264547;2,131951;1;0,1672506;0,136378;0,03586845;1,653135
0;0,7597876;instantiate;0;0;0,4366162;0,3187086;0,6432758;0,6818263;0;0;0;3,114197;2;0;0;0;0
0;1,619411;mouse;1;0;0,6676604;0,7167318;0,6432758;0,6818263;0;1;0,859623;3,114197;1;0,2863321;0,05233178;0,04257938;2,458549
0;1,636764;instantiate;0;0;0,6676604;0,7167318;0,1955448;0,9200895;0;0;0;0,7746296;3;0;0;0;0
0;2,428022;destroy;0;0;0,2117058;0,9293743;0,1955448;0,9200895;0;0;0,7912588;0,7746296;3;0;0;0;0
0;2,462103;instantiate;0;0;0,2117058;0,9293743;0,7197511;0,1105261;0;0;0;1,225054;4;0;0;0;0
0;2,496179;mouse;0;0;0,2117058;0,9293743;0,7197511;0,1105261;0;1;0,03407574;1,225054;1;0,2863321;0,05233178;0,04257938;2,458549
0;3,692945;destroy;0;0;0,7105979;0,1033399;0,7197511;0,1105261;0;0;1,230842;1,225054;4;0;0;0;0
1;0;instantiate;0;0;0,669705;0,2696373;0,2107094;0,7890131;0;0;0;3,767612;5;0;0;0;0
1;0,9283686;mouse;1;0;0,2403308;0,7767079;0,2107094;0,7890131;0;1;0,9283686;3,767612;1;0,2708693;-0,0205884;0,03207558;1,998199
1;0,9617023;instantiate;0;0;0,2403308;0,7767079;0,6712573;0,6588166;0;0;0;0,5616784;6;0;0;0;0
1;1,533224;destroy;0;0;0,551116;0,6976485;0,6712573;0,6588166;0;0;0,5715218;0,5616784;6;0;0;0;0
1;1,533224;instantiate;0;0;0,551116;0,6976485;0,08270803;0,9083979;0;0;0;3,185576;7;0;0;0;0
1;2,643902;mouse;1;0;0,06858104;0,9239219;0,08270803;0,9083979;0;1;1,110678;3,185576;1;0;0,4319516;0,0209897;2,228697
1;2,643902;instantiate;0;0;0,06858104;0,9239219;0,3160936;0,1006275;0;0;0;1,236296;8;0;0;0;0
1;3,584883;mouse;1;0;0,3139378;0,1115185;0,3160936;0,1006275;0;1;0,9409809;1,236296;1;0,1680164;0,1166297;0,01110232;3,597832
