BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;0,5807292;0,4268518;0,731124;0,7373138;0;0;0;40;1;0;0;0;0
0;1,133923;mouse;1;0;0,7369792;0,7300926;0,731124;0,7373138;0;1;1,133923;40;1;0,5506516;0,003683984;0,009296743;1,866238
0;1,169277;instantiate;0;0;0,7364584;0,7287037;0,3687695;0,3293473;0;0;0;40;2;0;0;0;0
0;1,984848;mouse;1;0;0,3666667;0,3398148;0,3687695;0,3293473;0;1;0,8155708;40;1;0,1489487;0,01012194;0,01067663;1,837238
0;2,019379;instantiate;0;0;0,3666667;0,3398148;0,8586574;0,2877512;0;0;0;40;3;0;0;0;0
0;2,868664;mouse;1;0;0,8458334;0,2865741;0,8586574;0,2877512;0;1;0,8492851;40;1;0,08327103;0,01875547;0,01287797;1,762935
0;2,904842;instantiate;0;0;0,8458334;0,2865741;0,4529195;0,8682304;0;0;0;40;4;0;0;0;0
0;3,786259;mouse;1;0;0,4598958;0,8421296;0,4529195;0,8682304;0;1;0,8814163;40;1;0,100296;0,03049594;0,02701699;2,394863
0;3,786259;instantiate;0;0;0,4598958;0,8421296;0,3314793;0,3741492;0;0;0;40;5;0;0;0;0
0;4,536144;mouse;1;0;0,3341146;0,3560185;0,3314793;0,3741492;0;1;0,7498856;40;1;0,08609772;0,08448827;0,0183212;2,007546
0;4,552563;instantiate;0;0;0,3341146;0,3560185;0,893938;0,6600602;0;0;0;40;6;0;0;0;0
0;5,38451;mouse;1;0;0,9018229;0,6347222;0,893938;0,6600602;0;1;0,8319473;40;1;0,1013794;0,03753918;0,0265365;2,076216
0;5,420582;instantiate;0;0;0,9018229;0,6347222;0,8994504;0,1321504;0;0;0;40;7;0;0;0;0
0;6,318958;mouse;1;0;0,9088542;0,1189815;0,8994504;0,1321504;0;1;0,8983765;40;1;0,1185303;0,3584862;0,01618186;2,143282
0;6,336056;instantiate;0;0;0,9088542;0,1189815;0,4414436;0,05128831;0;0;0;40;8;0;0;0;0
0;7,22118;mouse;1;0;0,4265625;0,06666667;0,4414436;0,08090401;0;1;0,8851242;40;1;0,1344604;0,1210828;0,02003762;1,664718
0;7,253757;instantiate;0;0;0,4265625;0,06666667;0,05011564;0,4111996;0;0;0;40;9;0;0;0;0
0;8,036037;mouse;1;0;0,04375;0,4222222;0,05011564;0,4111996;0;1;0,78228;40;1;0,1008224;0,1593757;0,01272867;2,114429
0;8,072285;instantiate;0;0;0,04375;0,4222222;0,7099267;0,9054405;0;0;0;40;10;0;0;0;0
0;8,987019;mouse;0;0;0,6817709;0,9069445;0,7099267;0,9054405;0;1;0,9147339;40;1;0,1008224;0,1593757;0,01272867;2,114429
0;9,524174;mouse;1;0;0,7148438;0,8824074;0,7099267;0,9054405;0;1;1,451889;40;1;0,08312225;0,285728;0,02355208;2,989716
0;9,54073;instantiate;0;0;0,7148438;0,8824074;0,7562521;0,5338421;0;0;0;40;11;0;0;0;0
0;10,20498;mouse;1;0;0,7513021;0,5134259;0,7562521;0,5338421;0;1;0,6642456;40;1;0,09985352;0,03451833;0,01966064;1,55715
0;10,20498;instantiate;0;0;0,7513021;0,5134259;0,1031654;0,5810068;0;0;0;40;12;0;0;0;0
