BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;0,4072917;0,2652778;0,3355067;0,3651745;0;0;0;0,1423435;1;0;0;0;0
0;0,1511955;destroy;0;0;0,4005208;0,2800926;0,3355067;0,3651745;0;0;0,1511955;0,1423435;1;0;0;0;0
0;0,1831226;instantiate;0;0;0,4078125;0,2907407;0,6086382;0,1096183;0;0;0;3,912056;2;0;0;0;0
0;1,083752;mouse;0;0;0,6364583;0,09259259;0,6086382;0,1096183;0;1;0,900629;3,912056;1;-1;-1;-1;-1
0;1,619764;mouse;1;0;0,6109375;0,1125;0,6086382;0,1096183;0;1;1,436642;3,912056;1;0,01722336;0,3951312;0,003686592;1,67968
0;1,669903;instantiate;0;0;0,6109375;0,1125;0,9251009;0,6248417;0;0;0;0,2813721;3;0;0;0;0
0;1,953167;destroy;0;0;0,5984375;0,1875;0,9251009;0,6248417;0;0;0,2832642;0,2813721;3;0;0;0;0
0;1,98679;instantiate;0;0;0,6179687;0,2476852;0,7505164;0,2657491;0;0;0;1,484526;4;0;0;0;0
0;2,78426;mouse;1;0;0,7424479;0,2736111;0,7505164;0,2657491;0;1;0,7974701;1,484526;1;0;0,4812016;0,01126549;1,770972
0;2,816877;instantiate;0;0;0,7424479;0,2736111;0,4940979;0,4892679;0;0;0;2,99767;5;0;0;0;0
0;3,569027;mouse;1;0;0,4867187;0,4921296;0,4940979;0,4892679;0;1;0,7521496;2,99767;1;0,166378;0,02245173;0,007914627;1,41839
1;0;instantiate;0;0;0,3908854;0,4212963;0,2877294;0,1088447;0;0;0;2,124731;6;0;0;0;0
1;0,9697456;mouse;1;0;0,3044271;0,1125;0,2877294;0,1088447;0;1;0,9697456;2,124731;1;0,3997612;0,005463302;0,01709312;1,376487
1;0,9697456;instantiate;0;0;0,3044271;0,1125;0,5873445;0,4290934;0;0;0;1,45043;7;0;0;0;0
1;1,768974;mouse;1;0;0,5927083;0,4467593;0,5873445;0,4290934;0;1;0,7992287;1,45043;1;0,16996;0,03132522;0,01846221;1,480436
1;1,800934;instantiate;0;0;0,5927083;0,4467593;0,5262198;0,1091907;0;0;0;1,496139;8;0;0;0;0
1;2,602169;mouse;1;0;0,5236979;0,08148148;0,5262198;0,1091907;0;1;0,8012352;1,496139;1;0,2809982;0,03469449;0,02782372;1,929302
1;2,638275;instantiate;0;0;0,5242187;0,08148148;0,3968635;0,853637;0;0;0;0,1283984;9;0;0;0;0
1;2,770618;destroy;0;0;0,5242187;0,08240741;0,3968635;0,853637;0;0;0,1323433;0,1283984;9;0;0;0;0
1;2,770618;instantiate;0;0;0,5242187;0,08240741;0,4529677;0,1072989;0;0;0;1,645281;10;0;0;0;0
1;3,769611;mouse;1;0;0,4716146;0,07777778;0,4529677;0,1072989;0;1;0,9989929;1,645281;1;0,01630783;0,9941398;0,03491702;3,185343
