BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;0.456446;0.5409282;0.6486778;0.2428058;0;0;0;3.866868;1;0;0;0;0
0;0.7067413;mouse;0;0;0.6097561;0.2995781;0.6486778;0.2428058;0;1;0.7067413;3.866868;1;-1;-1;-1;-1
0;0.9770656;mouse;1;0;0.6498258;0.2506329;0.6486778;0.2428058;0;1;0.9770656;3.866868;1;0.3691955;-0.0005930364;0.008746686;1.950111
0;0.9938564;instantiate;0;0;0.6498258;0.2506329;0.5203802;0.646252;0;0;0;3.616252;2;0;0;0;0
0;1.515322;mouse;0;0;0.5461673;0.7037975;0.5203802;0.646252;0;1;0.5214658;3.616252;1;0.3691955;-0.0005930364;0.008746686;1.950111
0;1.768493;mouse;1;0;0.5339721;0.6548523;0.5203802;0.646252;0;1;0.7746367;3.616252;1;0.1181531;0.1334734;0.01727345;2.284735
0;1.802453;instantiate;0;0;0.5339721;0.6548523;0.6873855;0.09262106;0;0;0;1.488606;3;0;0;0;0
0;2.51081;mouse;1;0;0.6925087;0.1054852;0.6873855;0.09262106;0;1;0.7083578;1.488606;1;0.0837965;0.04004753;0.01384681;3.600072
0;2.527877;instantiate;0;0;0.6925087;0.1054852;0.7303941;0.4289721;0;0;0;0.2851801;4;0;0;0;0
0;2.814833;destroy;0;0;0.5731707;0.4691983;0.7303941;0.4289721;0;0;0.2869558;0.2851801;4;0;0;0;0
0;2.848827;instantiate;0;0;0.6141115;0.4810127;0.906614;0.05327898;0;0;0;3.366349;5;0;0;0;0
0;3.612849;mouse;1;0;0.9085366;0.09198312;0.906614;0.08090329;0;1;0.7640219;3.366349;1;0;0.05286184;0.01447184;1.252809
1;0;instantiate;0;0;0.5479094;0.5974684;0.4155219;0.6546567;0;0;0;1.281134;6;0;0;0;0
1;0.7343063;mouse;1;0;0.424216;0.6599156;0.4155219;0.6546567;0;1;0.7343063;1.281134;1;0.5213928;-0.004602745;0.01016087;1.093
1;0.767643;instantiate;0;0;0.424216;0.6599156;0.786276;0.6726645;0;0;0;3.001713;7;0;0;0;0
1;1.31497;mouse;1;0;0.8222997;0.664135;0.786276;0.6726645;0;1;0.547327;3.001713;1;0.08394241;0.07642949;0.03701967;1.68187
1;1.331636;instantiate;0;0;0.8222997;0.664135;0.569369;0.3682215;0;0;0;1.766486;8;0;0;0;0
1;1.854565;mouse;1;0;0.5696864;0.4016878;0.569369;0.3682215;0;1;0.5229282;1.766486;1;0.08427048;0.05942824;0.037687;2.338963
1;1.88847;instantiate;0;0;0.5688154;0.3974684;0.939093;0.8489574;0;0;0;3.608768;9;0;0;0;0
1;2.546682;mouse;1;0;0.9320558;0.8362869;0.939093;0.8489574;0;1;0.6582127;3.608768;1;0.1682968;0.01637465;0.01675191;2.984215
1;2.546682;instantiate;0;0;0.9320558;0.8362869;0.5394249;0.0703977;0;0;0;0.7275491;10;0;0;0;0
1;3.236929;mouse;1;0;0.5148084;0.08945148;0.5394249;0.0809052;0;1;0.6902466;0.7275491;1;0.0842514;0.1473081;0.02585698;3.518586
