BlockNumber;Time Since Block start in s;EventType;isHit;Scheiben Nummer (in Sequence);MousePosX;MousePosY;Scheiben Pos X;Scheiben Pos Y;Scheiben Velocity;Scheiben Durchmesser;Zeit of Existence;Maximale Existenzzeit;Anzahl an Scheiben aktuell present;Time To Movement Initiation;Cursor Path Error;final Pos Error;maxMovementVelocity in pixel/sec
0;0;instantiate;0;0;0,7514907;0,2587325;0,7666703;0,2447571;0;0;0;1,289048;1;0;0;0;0
0;0,709053;mouse;1;0;0,7514907;0,2587325;0,7666703;0,2447571;0;1;0,709053;1,289048;1;0;-0,02063331;0,02063331;0
0;0,709053;instantiate;0;0;0,7514907;0,2587325;0,2737138;0,624081;0;0;0;1,648342;2;0;0;0;0
0;1,955143;mouse;1;0;0,2525986;0,6131367;0,2737138;0,624081;0;1;1,24609;1,648342;1;0,5232048;0,06467265;0,02378298;5,046114
0;1,988476;instantiate;0;0;0,2525986;0,6131367;0,7073159;0,3412887;0;0;0;2,454965;3;0;0;0;0
0;3,267567;mouse;1;0;0,704464;0,3296134;0,7073159;0,3412887;0;1;1,279091;2,454965;1;0,3378563;0,7038401;0,0120186;9,306401
1;0;instantiate;0;0;0,669705;0,36778;0,1913052;0,694536;0;0;0;0,1590748;4;0;0;0;0
1;0,1686516;destroy;0;0;0,669705;0,36778;0,1913052;0,694536;0;0;0,1686516;0,1590748;4;0;0;0;0
1;0,2021027;instantiate;0;0;0,669705;0,36778;0,8406465;0,8953813;0;0;0;3,218432;5;0;0;0;0
1;1,3293;mouse;1;0;0,8414548;0,8748506;0,8406465;0,8953813;0;1;1,127197;3,218432;1;0,1700859;0,2685314;0,02054661;2,953718
1;1,362907;instantiate;0;0;0,8414548;0,8748506;0,453313;0,5723792;0;0;0;2,42935;6;0;0;0;0
1;2,339226;mouse;1;0;0,4427501;0,5804225;0,453313;0,5723792;0;1;0,9763184;2,42935;1;0,1684685;0,1596811;0,01327663;2,379609
1;2,373188;instantiate;0;0;0,4427501;0,5804225;0,09068075;0,6484714;0;0;0;1,792018;7;0;0;0;0
1;3,097298;mouse;1;0;0,06858104;0,6294938;0,09068075;0,6484714;0;1;0,7241096;1,792018;1;0,2182426;0,0325174;0,02912981;1,779497
